Average Domestic Air Fares  

Year,Quarter,U.S. Average (Current $),U.S. Average (Inflation-Adjusted $),Boise -  ID (Current $),Boise -  ID (Inflation-Adjusted $)
"1995","1","296.90","598.64","261.98","528.24"
"1995","2","296.46","592.54","260.43","520.52"
"1995","3","287.51","572.15","237.88","473.37"
"1995","4","287.78","569.93","230.56","456.62"
"1996","1","283.97","557.31","228.40","448.25"
"1996","2","275.45","535.29","221.42","430.30"
"1996","3","269.49","520.94","209.96","405.87"
"1996","4","278.33","534.18","212.67","408.16"
"1997","1","283.40","540.28","216.52","412.78"
"1997","2","289.19","549.13","236.40","448.89"
"1997","3","282.27","533.89","231.57","437.99"
"1997","4","293.51","552.97","229.51","432.39"
"1998","1","304.74","572.59","237.00","445.31"
"1998","2","300.81","562.20","238.02","444.84"
"1998","3","315.25","586.90","254.37","473.56"
"1998","4","316.18","586.60","252.83","469.06"
"1999","1","331.74","613.10","268.97","497.09"
"1999","2","329.33","602.79","263.27","481.87"
"1999","3","317.22","577.03","259.42","471.89"
"1999","4","317.93","574.77","252.98","457.35"
"2000","1","340.23","609.04","263.43","471.57"
"2000","2","339.10","600.67","274.94","487.01"
"2000","3","336.66","591.64","275.02","483.31"
"2000","4","340.08","594.44","267.92","468.31"
"2001","1","347.69","601.97","270.04","467.54"
"2001","2","328.53","562.92","265.05","454.16"
"2001","3","303.02","518.54","252.62","432.29"
"2001","4","299.81","514.49","242.14","415.53"
"2002","1","320.02","547.22","265.75","454.42"
"2002","2","317.79","537.56","276.36","467.48"
"2002","3","303.30","510.87","258.93","436.14"
"2002","4","308.85","518.60","260.95","438.17"
"2003","1","319.19","530.58","259.58","431.50"
"2003","2","314.37","520.68","266.31","441.08"
"2003","3","312.39","514.88","268.11","441.89"
"2003","4","315.77","520.36","269.80","444.60"
"2004","1","320.23","522.99","275.11","449.29"
"2004","2","309.32","498.03","275.47","443.53"
"2004","3","296.54","475.77","267.01","428.40"
"2004","4","297.28","474.13","270.52","431.45"
"2005","1","301.39","477.68","274.51","435.08"
"2005","2","306.60","479.52","278.55","435.65"
"2005","3","305.91","472.69","274.61","424.33"
"2005","4","314.76","483.92","278.46","428.10"
"2006","1","323.34","494.43","290.51","444.23"
"2006","2","341.54","513.57","305.06","458.72"
"2006","3","330.12","493.64","295.80","442.32"
"2006","4","318.16","479.84","298.39","450.03"
"2007","1","317.84","474.39","299.72","447.34"
"2007","2","325.35","476.59","298.58","437.38"
"2007","3","327.56","478.51","298.37","435.87"
"2007","4","329.77","478.34","301.66","437.57"
"2008","1","333.29","478.02","302.64","434.05"
"2008","2","346.93","486.89","309.97","435.02"
"2008","3","358.93","497.93","320.93","445.22"
"2008","4","345.42","493.14","311.71","445.02"
"2009","1","313.82","450.26","288.57","414.04"
"2009","2","301.78","428.45","284.94","404.54"
"2009","3","306.95","432.85","294.57","415.39"
"2009","4","319.85","450.14","304.70","428.82"
"2010","1","328.12","459.92","316.02","442.97"
"2010","2","340.77","475.40","311.98","435.24"
"2010","3","339.71","473.49","319.78","445.71"
"2010","4","334.78","465.24","320.27","445.08"
"2011","1","355.72","488.17","339.12","465.39"
"2011","2","369.77","498.76","348.19","469.64"
"2011","3","360.74","484.59","339.81","456.48"
"2011","4","368.39","495.62","366.82","493.51"
"2012","1","372.83","497.63","375.25","500.87"
"2012","2","384.78","510.10","396.83","526.07"
"2012","3","366.97","484.73","390.24","515.47"
"2012","4","374.23","494.14","389.05","513.71"
"2013","1","378.34","496.64","385.91","506.58"
"2013","2","378.51","494.19","401.92","524.75"
"2013","3","391.64","509.40","402.31","523.28"
"2013","4","388.13","506.25","395.02","515.24"
"2014","1","387.37","501.44","393.23","509.03"
"2014","2","402.31","514.71","403.03","515.63"
"2014","3","399.25","510.20","386.17","493.49"
"2014","4","395.36","509.32","386.31","497.67"
"2015","1","390.13","505.33","382.76","495.79"
"2015","2","388.86","497.69","383.25","490.51"
"2015","3","374.11","477.55","371.71","474.50"
"2015","4","365.39","468.53","361.81","463.94"
"2016","1","359.47","460.64","356.79","457.21"
"2016","2","355.24","449.95","350.22","443.59"
"2016","3","349.11","440.72","350.98","443.08"
"2016","4","346.72","436.73","353.38","445.12"
"2017","1","349.44","436.70","345.03","431.20"
"2017","2","355.87","442.34","348.65","433.36"
"2017","3","335.83","415.77","334.96","414.70"
"2017","4","347.33","428.43","344.74","425.23"
"2018","1","346.49","423.63","346.11","423.17"
"2018","2","349.12","422.32","350.95","424.54"
"2018","3","343.28","414.07","339.29","409.26"
"2018","4","359.30","433.63","345.60","417.11"
"2019","1","350.12","421.15","346.25","416.50"
"2019","2","357.07","424.42","359.00","426.71"
"2019","3","345.09","409.06","344.87","408.80"
"2019","4","356.51","421.70","353.90","418.61"
"2020","1","336.00","395.78","331.89","390.93"
"2020","2","259.12","306.88","275.62","326.42"
"2020","3","244.71","286.57","252.50","295.69"
"2020","4","260.67","304.56","270.96","316.58"
"2021","1","260.20","300.78","277.46","320.74"
"2021","2","299.79","338.62","295.86","334.18"
"2021","3","314.07","349.17","292.95","325.69"
"2021","4","327.14","358.25","337.32","369.40"
"2022","1","328.49","351.71","358.01","383.30"
"2022","2","397.16","412.94","423.93","440.77"
"2022","3","382.54","392.58","372.89","382.68"
"2022","4","393.85","402.71","393.09","401.93"
"2023","1","381.55","386.10","384.24","388.82"
"2023","2","391.79","391.79","421.08","421.08"

NOTE: Inflation-Adjusted air fares are calculated using dollars for the year of the most recent fare release.
SOURCE: Bureau of Transportation Statistics
