Average Domestic Air Fares  

Year,Quarter,U.S. Average (Current $),U.S. Average (Inflation-Adjusted $),Dallas/Fort Worth - Greater (Current $),Dallas/Fort Worth - Greater (Inflation-Adjusted $),Dallas-Fort Worth -  TX (Current $),Dallas-Fort Worth -  TX (Inflation-Adjusted $)
"1995","1","296.90","598.64","305.43","615.85","399.79","806.12"
"1995","2","296.46","592.54","304.66","608.91","398.08","795.64"
"1995","3","287.51","572.15","301.18","599.33","380.04","756.27"
"1995","4","287.78","569.93","289.55","573.45","370.78","734.32"
"1996","1","283.97","557.31","297.89","584.63","381.10","747.94"
"1996","2","275.45","535.29","284.28","552.45","377.25","733.13"
"1996","3","269.49","520.94","296.04","572.27","393.26","760.20"
"1996","4","278.33","534.18","300.67","577.07","394.72","757.56"
"1997","1","283.40","540.28","308.18","587.51","409.09","779.89"
"1997","2","289.19","549.13","318.29","604.40","415.18","788.37"
"1997","3","282.27","533.89","289.21","547.01","393.43","744.13"
"1997","4","293.51","552.97","291.01","548.27","396.34","746.70"
"1998","1","304.74","572.59","306.60","576.08","422.48","793.81"
"1998","2","300.81","562.20","300.21","561.08","409.14","764.65"
"1998","3","315.25","586.90","348.15","648.15","407.65","758.92"
"1998","4","316.18","586.60","341.20","633.01","396.87","736.29"
"1999","1","331.74","613.10","366.57","677.45","434.32","802.67"
"1999","2","329.33","602.79","362.66","663.78","429.36","785.87"
"1999","3","317.22","577.03","349.53","635.79","407.21","740.72"
"1999","4","317.93","574.77","347.65","628.49","407.71","737.08"
"2000","1","340.23","609.04","375.05","671.38","441.69","790.67"
"2000","2","339.10","600.67","376.38","666.69","438.47","776.68"
"2000","3","336.66","591.64","379.65","667.18","440.67","774.42"
"2000","4","340.08","594.44","383.67","670.64","447.03","781.38"
"2001","1","347.69","601.97","398.23","689.48","469.38","812.66"
"2001","2","328.53","562.92","363.64","623.09","427.69","732.84"
"2001","3","303.02","518.54","328.32","561.83","378.27","647.31"
"2001","4","299.81","514.49","323.20","554.64","372.51","639.25"
"2002","1","320.02","547.22","348.68","596.22","401.63","686.77"
"2002","2","317.79","537.56","344.69","583.06","389.72","659.24"
"2002","3","303.30","510.87","333.59","561.90","374.03","630.01"
"2002","4","308.85","518.60","336.24","564.58","381.51","640.60"
"2003","1","319.19","530.58","352.60","586.13","406.42","675.59"
