Average Domestic Air Fares  

Year,Quarter,U.S. Average (Current $),U.S. Average (Inflation-Adjusted $),Kansas City -  MO (Current $),Kansas City -  MO (Inflation-Adjusted $)
"1995","1","296.90","598.64","234.37","472.57"
"1995","2","296.46","592.54","229.59","458.88"
"1995","3","287.51","572.15","207.25","412.42"
"1995","4","287.78","569.93","216.29","428.36"
"1996","1","283.97","557.31","214.54","421.05"
"1996","2","275.45","535.29","202.96","394.42"
"1996","3","269.49","520.94","198.89","384.47"
"1996","4","278.33","534.18","194.10","372.52"
"1997","1","283.40","540.28","201.01","383.21"
"1997","2","289.19","549.13","208.62","396.14"
"1997","3","282.27","533.89","202.86","383.69"
"1997","4","293.51","552.97","207.92","391.72"
"1998","1","304.74","572.59","218.38","410.32"
"1998","2","300.81","562.20","221.03","413.09"
"1998","3","315.25","586.90","259.94","483.93"
"1998","4","316.18","586.60","262.65","487.28"
"1999","1","331.74","613.10","274.14","506.64"
"1999","2","329.33","602.79","272.57","498.89"
"1999","3","317.22","577.03","260.57","473.98"
"1999","4","317.93","574.77","263.93","477.14"
"2000","1","340.23","609.04","276.26","494.54"
"2000","2","339.10","600.67","282.42","500.26"
"2000","3","336.66","591.64","278.81","489.97"
"2000","4","340.08","594.44","280.76","490.75"
"2001","1","347.69","601.97","284.55","492.66"
"2001","2","328.53","562.92","269.07","461.05"
"2001","3","303.02","518.54","251.53","430.43"
"2001","4","299.81","514.49","241.16","413.84"
"2002","1","320.02","547.22","262.05","448.09"
"2002","2","317.79","537.56","272.53","461.00"
"2002","3","303.30","510.87","267.03","449.78"
"2002","4","308.85","518.60","268.17","450.29"
"2003","1","319.19","530.58","271.85","451.89"
"2003","2","314.37","520.68","258.92","428.84"
"2003","3","312.39","514.88","259.83","428.25"
"2003","4","315.77","520.36","272.46","448.98"
"2004","1","320.23","522.99","284.45","464.55"
"2004","2","309.32","498.03","270.40","435.37"
"2004","3","296.54","475.77","264.49","424.36"
"2004","4","297.28","474.13","269.51","429.84"
"2005","1","301.39","477.68","281.18","445.65"
"2005","2","306.60","479.52","285.00","445.74"
"2005","3","305.91","472.69","282.74","436.89"
"2005","4","314.76","483.92","291.46","448.09"
"2006","1","323.34","494.43","284.74","435.41"
"2006","2","341.54","513.57","299.63","450.56"
"2006","3","330.12","493.64","292.76","437.77"
"2006","4","318.16","479.84","281.44","424.46"
"2007","1","317.84","474.39","286.03","426.91"
"2007","2","325.35","476.59","285.44","418.13"
"2007","3","327.56","478.51","285.03","416.38"
"2007","4","329.77","478.34","289.36","419.73"
"2008","1","333.29","478.02","294.91","422.97"
"2008","2","346.93","486.89","304.66","427.56"
"2008","3","358.93","497.93","322.13","446.88"
"2008","4","345.42","493.14","314.37","448.81"
"2009","1","313.82","450.26","289.14","414.86"
"2009","2","301.78","428.45","271.28","385.15"
"2009","3","306.95","432.85","272.07","383.67"
"2009","4","319.85","450.14","279.87","393.87"
"2010","1","328.12","459.92","299.97","420.47"
"2010","2","340.77","475.40","308.92","430.97"
"2010","3","339.71","473.49","310.46","432.72"
"2010","4","334.78","465.24","303.34","421.55"
"2011","1","355.72","488.17","330.80","453.97"
"2011","2","369.77","498.76","334.93","451.76"
"2011","3","360.74","484.59","320.59","430.66"
"2011","4","368.39","495.62","332.85","447.81"
"2012","1","372.83","497.63","340.75","454.82"
"2012","2","384.78","510.10","361.32","479.00"
"2012","3","366.97","484.73","345.60","456.50"
"2012","4","374.23","494.14","351.45","464.06"
"2013","1","378.34","496.64","363.27","476.86"
"2013","2","378.51","494.19","365.03","476.59"
"2013","3","391.64","509.40","375.12","487.92"
"2013","4","388.13","506.25","367.91","479.88"
"2014","1","387.37","501.44","382.24","494.80"
"2014","2","402.31","514.71","387.35","495.57"
"2014","3","399.25","510.20","376.09","480.61"
"2014","4","395.36","509.32","371.85","479.04"
"2015","1","390.13","505.33","383.23","496.40"
"2015","2","388.86","497.69","377.34","482.95"
"2015","3","374.11","477.55","362.58","462.84"
"2015","4","365.39","468.53","362.69","465.08"
"2016","1","359.47","460.64","375.26","480.88"
"2016","2","355.24","449.95","356.04","450.97"
"2016","3","349.11","440.72","345.35","435.97"
"2016","4","346.72","436.73","343.08","432.14"
"2017","1","349.44","436.70","359.92","449.79"
"2017","2","355.87","442.34","355.77","442.21"
"2017","3","335.83","415.77","338.17","418.68"
"2017","4","347.33","428.43","342.77","422.80"
"2018","1","346.49","423.63","350.47","428.50"
"2018","2","349.12","422.32","353.48","427.59"
"2018","3","343.28","414.07","343.49","414.32"
"2018","4","359.30","433.63","345.82","417.37"
"2019","1","350.12","421.15","361.27","434.56"
"2019","2","357.07","424.42","366.60","435.74"
"2019","3","345.09","409.06","360.09","426.84"
"2019","4","356.51","421.70","371.99","440.01"
"2020","1","336.00","395.78","366.88","432.15"
"2020","2","259.12","306.88","248.73","294.57"
"2020","3","244.71","286.57","246.48","288.64"
"2020","4","260.67","304.56","278.59","325.49"
"2021","1","260.20","300.78","295.20","341.24"
"2021","2","299.79","338.62","320.89","362.46"
"2021","3","314.07","349.17","326.42","362.90"
"2021","4","327.14","358.25","342.63","375.22"
"2022","1","328.49","351.71","358.67","384.02"
"2022","2","397.16","412.94","425.31","442.21"
"2022","3","382.54","392.58","396.25","406.65"
"2022","4","393.85","402.71","390.15","398.93"
"2023","1","381.55","386.10","398.99","403.75"
"2023","2","391.79","391.79","402.79","402.79"

NOTE: Inflation-Adjusted air fares are calculated using dollars for the year of the most recent fare release.
SOURCE: Bureau of Transportation Statistics
