Average Domestic Air Fares  

Year,Quarter,U.S. Average (Current $),U.S. Average (Inflation-Adjusted $),New York City - Greater (Current $),New York City - Greater (Inflation-Adjusted $),New York JFK -  NY (Current $),New York JFK -  NY (Inflation-Adjusted $)
"1995","1","296.90","598.64","352.78","711.33","363.81","733.56"
"1995","2","296.46","592.54","360.15","719.83","370.24","739.99"
"1995","3","287.51","572.15","364.99","726.32","363.02","722.40"
"1995","4","287.78","569.93","373.83","740.36","369.83","732.44"
"1996","1","283.97","557.31","359.39","705.32","363.22","712.85"
"1996","2","275.45","535.29","356.92","693.63","371.67","722.29"
"1996","3","269.49","520.94","350.09","676.74","355.90","687.98"
"1996","4","278.33","534.18","375.68","721.02","370.07","710.25"
"1997","1","283.40","540.28","371.53","708.30","361.38","688.94"
"1997","2","289.19","549.13","377.71","717.23","366.75","696.41"
"1997","3","282.27","533.89","376.33","711.80","368.59","697.15"
"1997","4","293.51","552.97","403.00","759.24","411.63","775.50"
"1998","1","304.74","572.59","400.85","753.18","437.39","821.83"
"1998","2","300.81","562.20","400.04","747.66","416.59","778.58"
"1998","3","315.25","586.90","381.46","710.16","400.91","746.37"
"1998","4","316.18","586.60","386.74","717.51","419.96","779.13"
"1999","1","331.74","613.10","406.64","751.52","420.00","776.21"
"1999","2","329.33","602.79","395.42","723.74","410.94","752.15"
"1999","3","317.22","577.03","375.48","683.01","384.06","698.61"
"1999","4","317.93","574.77","388.91","703.09","425.89","769.94"
"2000","1","340.23","609.04","423.26","757.68","492.44","881.52"
"2000","2","339.10","600.67","412.53","730.73","460.03","814.87"
"2000","3","336.66","591.64","398.21","699.80","433.11","761.13"
"2000","4","340.08","594.44","406.74","710.96","442.75","773.90"
"2001","1","347.69","601.97","415.15","718.77","443.94","768.62"
"2001","2","328.53","562.92","383.87","657.75","400.02","685.43"
"2001","3","303.02","518.54","342.06","585.34","347.37","594.43"
"2001","4","299.81","514.49","349.07","599.02","337.06","578.41"
"2002","1","320.02","547.22","368.27","629.72","361.89","618.81"
"2002","2","317.79","537.56","352.02","595.47","344.51","582.76"
"2002","3","303.30","510.87","333.17","561.18","309.77","521.77"
"2002","4","308.85","518.60","347.73","583.87","329.11","552.61"
"2003","1","319.19","530.58","356.88","593.24","316.56","526.22"
"2003","2","314.37","520.68","343.56","569.02","303.80","503.17"
"2003","3","312.39","514.88","333.27","549.30","295.09","486.36"
"2003","4","315.77","520.36","338.23","557.37","296.99","489.41"
"2004","1","320.23","522.99","341.29","557.37","292.81","478.20"
"2004","2","309.32","498.03","331.94","534.45","284.61","458.25"
"2004","3","296.54","475.77","306.74","492.14","265.74","426.36"
"2004","4","297.28","474.13","309.82","494.13","273.15","435.65"
"2005","1","301.39","477.68","311.44","493.61","279.97","443.73"
"2005","2","306.60","479.52","322.29","504.06","292.06","456.78"
"2005","3","305.91","472.69","320.10","494.62","292.12","451.39"
"2005","4","314.76","483.92","327.29","503.18","302.66","465.31"
"2006","1","323.34","494.43","329.87","504.42","307.69","470.51"
"2006","2","341.54","513.57","353.75","531.93","341.80","513.97"
"2006","3","330.12","493.64","336.58","503.30","324.75","485.61"
"2006","4","318.16","479.84","334.46","504.43","333.09","502.36"
"2007","1","317.84","474.39","336.53","502.28","332.72","496.59"
"2007","2","325.35","476.59","335.25","491.10","335.56","491.55"
"2007","3","327.56","478.51","339.71","496.27","345.97","505.41"
"2007","4","329.77","478.34","349.56","507.05","352.59","511.44"
"2008","1","333.29","478.02","361.68","518.73","366.99","526.35"
"2008","2","346.93","486.89","375.60","527.12","363.81","510.58"
"2008","3","358.93","497.93","381.95","529.88","368.08","510.63"
"2008","4","345.42","493.14","368.75","526.45","354.13","505.58"
"2009","1","313.82","450.26","334.73","480.26","325.86","467.54"
"2009","2","301.78","428.45","323.24","458.91","309.66","439.64"
"2009","3","306.95","432.85","323.16","455.71","317.81","448.17"
"2009","4","319.85","450.14","345.72","486.54","336.46","473.51"
"2010","1","328.12","459.92","355.64","498.50","343.94","482.11"
"2010","2","340.77","475.40","366.37","511.12","356.51","497.36"
"2010","3","339.71","473.49","368.12","513.08","359.22","500.68"
"2010","4","334.78","465.24","373.12","518.52","362.75","504.11"
"2011","1","355.72","488.17","391.79","537.66","383.18","525.85"
"2011","2","369.77","498.76","400.41","540.08","396.85","535.28"
"2011","3","360.74","484.59","388.33","521.65","387.20","520.14"
"2011","4","368.39","495.62","402.07","540.94","396.23","533.08"
"2012","1","372.83","497.63","403.40","538.44","394.00","525.89"
"2012","2","384.78","510.10","409.33","542.64","405.45","537.50"
"2012","3","366.97","484.73","387.10","511.32","388.28","512.88"
"2012","4","374.23","494.14","406.81","537.17","405.02","534.80"
"2013","1","378.34","496.64","413.94","543.37","418.43","549.26"
"2013","2","378.51","494.19","404.96","528.73","398.48","520.26"
"2013","3","391.64","509.40","418.31","544.10","417.13","542.56"
"2013","4","388.13","506.25","434.03","566.12","432.27","563.83"
"2014","1","387.37","501.44","425.47","550.76","430.55","557.34"
"2014","2","402.31","514.71","444.43","568.59","445.58","570.06"
"2014","3","399.25","510.20","441.15","563.75","441.71","564.47"
"2014","4","395.36","509.32","440.73","567.78","447.32","576.26"
"2015","1","390.13","505.33","429.70","556.59","439.32","569.05"
"2015","2","388.86","497.69","428.31","548.18","436.00","558.02"
"2015","3","374.11","477.55","416.07","531.12","430.85","549.99"
"2015","4","365.39","468.53","405.73","520.26","416.59","534.19"
"2016","1","359.47","460.64","394.28","505.25","402.53","515.82"
"2016","2","355.24","449.95","380.07","481.40","388.65","492.27"
"2016","3","349.11","440.72","377.86","477.02","394.96","498.60"
"2016","4","346.72","436.73","382.32","481.57","399.02","502.61"
"2017","1","349.44","436.70","364.01","454.91","383.59","479.38"
"2017","2","355.87","442.34","379.95","472.26","399.94","497.11"
"2017","3","335.83","415.77","358.16","443.42","384.01","475.42"
"2017","4","347.33","428.43","380.49","469.32","406.93","501.94"
"2018","1","346.49","423.63","374.96","458.44","397.54","486.05"
"2018","2","349.12","422.32","365.91","442.62","379.43","458.98"
"2018","3","343.28","414.07","362.46","437.20","375.59","453.04"
"2018","4","359.30","433.63","393.27","474.63","409.99","494.81"
"2019","1","350.12","421.15","373.13","448.82","384.65","462.68"
"2019","2","357.07","424.42","384.36","456.86","402.09","477.93"
"2019","3","345.09","409.06","368.76","437.11","394.62","467.77"
"2019","4","356.51","421.70","396.91","469.48","428.12","506.40"
"2020","1","336.00","395.78","360.86","425.06","388.19","457.25"
"2020","2","259.12","306.88","286.16","338.90","321.04","380.21"
"2020","3","244.71","286.57","231.55","271.16","281.09","329.18"
"2020","4","260.67","304.56","239.98","280.38","271.60","317.33"
"2021","1","260.20","300.78","245.15","283.38","263.80","304.94"
"2021","2","299.79","338.62","301.01","340.00","320.25","361.73"
"2021","3","314.07","349.17","335.42","372.89","361.66","402.07"
"2021","4","327.14","358.25","327.89","359.07","360.94","395.27"
"2022","1","328.49","351.71","319.18","341.74","349.85","374.57"
"2022","2","397.16","412.94","392.57","408.17","435.70","453.02"
"2022","3","382.54","392.58","381.83","391.85","419.73","430.75"
"2022","4","393.85","402.71","396.46","405.38","447.81","457.89"
"2023","1","381.55","386.10","371.67","376.10","424.33","429.39"
"2023","2","391.79","391.79","372.30","372.30","421.94","421.94"

NOTE: Inflation-Adjusted air fares are calculated using dollars for the year of the most recent fare release.
SOURCE: Bureau of Transportation Statistics
