Average Domestic Air Fares  

Year,Quarter,U.S. Average (Current $),U.S. Average (Inflation-Adjusted $),Oakland -  CA (Current $),Oakland -  CA (Inflation-Adjusted $)
"1995","1","296.90","598.64","150.28","303.02"
"1995","2","296.46","592.54","160.94","321.67"
"1995","3","287.51","572.15","156.66","311.75"
"1995","4","287.78","569.93","151.93","300.89"
"1996","1","283.97","557.31","149.84","294.07"
"1996","2","275.45","535.29","150.87","293.19"
"1996","3","269.49","520.94","149.22","288.45"
"1996","4","278.33","534.18","153.40","294.41"
"1997","1","283.40","540.28","141.99","270.69"
"1997","2","289.19","549.13","133.38","253.27"
"1997","3","282.27","533.89","134.37","254.15"
"1997","4","293.51","552.97","133.23","251.00"
"1998","1","304.74","572.59","156.30","293.68"
"1998","2","300.81","562.20","156.18","291.89"
"1998","3","315.25","586.90","207.52","386.34"
"1998","4","316.18","586.60","211.32","392.05"
"1999","1","331.74","613.10","207.90","384.22"
"1999","2","329.33","602.79","217.62","398.31"
"1999","3","317.22","577.03","211.92","385.49"
"1999","4","317.93","574.77","211.21","381.83"
"2000","1","340.23","609.04","222.51","398.32"
"2000","2","339.10","600.67","239.42","424.10"
"2000","3","336.66","591.64","240.43","422.52"
"2000","4","340.08","594.44","243.11","424.94"
"2001","1","347.69","601.97","231.31","400.48"
"2001","2","328.53","562.92","235.00","402.67"
"2001","3","303.02","518.54","223.44","382.36"
"2001","4","299.81","514.49","221.63","380.33"
"2002","1","320.02","547.22","223.27","381.78"
"2002","2","317.79","537.56","247.45","418.58"
"2002","3","303.30","510.87","231.08","389.23"
"2002","4","308.85","518.60","230.08","386.33"
"2003","1","319.19","530.58","218.70","363.54"
"2003","2","314.37","520.68","229.66","380.38"
"2003","3","312.39","514.88","234.64","386.73"
"2003","4","315.77","520.36","236.62","389.92"
"2004","1","320.23","522.99","223.20","364.52"
"2004","2","309.32","498.03","231.76","373.15"
"2004","3","296.54","475.77","235.15","377.28"
"2004","4","297.28","474.13","235.83","376.12"
"2005","1","301.39","477.68","230.64","365.55"
"2005","2","306.60","479.52","245.68","384.25"
"2005","3","305.91","472.69","248.31","383.69"
"2005","4","314.76","483.92","249.66","383.83"
"2006","1","323.34","494.43","244.20","373.42"
"2006","2","341.54","513.57","275.20","413.82"
"2006","3","330.12","493.64","271.12","405.41"
"2006","4","318.16","479.84","261.19","393.92"
"2007","1","317.84","474.39","240.23","358.55"
"2007","2","325.35","476.59","263.52","386.02"
"2007","3","327.56","478.51","260.55","380.62"
"2007","4","329.77","478.34","257.49","373.50"
"2008","1","333.29","478.02","244.46","350.61"
"2008","2","346.93","486.89","257.47","361.34"
"2008","3","358.93","497.93","274.91","381.38"
"2008","4","345.42","493.14","272.59","389.17"
"2009","1","313.82","450.26","227.40","326.27"
"2009","2","301.78","428.45","234.63","333.12"
"2009","3","306.95","432.85","250.71","353.54"
"2009","4","319.85","450.14","253.98","357.44"
"2010","1","328.12","459.92","251.17","352.07"
"2010","2","340.77","475.40","273.67","381.79"
"2010","3","339.71","473.49","277.81","387.21"
"2010","4","334.78","465.24","270.54","375.97"
"2011","1","355.72","488.17","275.58","378.19"
"2011","2","369.77","498.76","310.45","418.74"
"2011","3","360.74","484.59","306.85","412.20"
"2011","4","368.39","495.62","286.56","385.53"
"2012","1","372.83","497.63","277.58","370.50"
"2012","2","384.78","510.10","304.73","403.98"
"2012","3","366.97","484.73","289.30","382.14"
"2012","4","374.23","494.14","298.50","394.15"
"2013","1","378.34","496.64","293.48","385.24"
"2013","2","378.51","494.19","306.87","400.65"
"2013","3","391.64","509.40","321.20","417.78"
"2013","4","388.13","506.25","306.37","399.61"
"2014","1","387.37","501.44","295.79","382.90"
"2014","2","402.31","514.71","316.34","404.72"
"2014","3","399.25","510.20","316.67","404.68"
"2014","4","395.36","509.32","310.77","400.35"
"2015","1","390.13","505.33","294.18","381.05"
"2015","2","388.86","497.69","318.36","407.46"
"2015","3","374.11","477.55","321.35","410.20"
"2015","4","365.39","468.53","310.45","398.08"
"2016","1","359.47","460.64","299.57","383.88"
"2016","2","355.24","449.95","313.99","397.70"
"2016","3","349.11","440.72","303.99","383.76"
"2016","4","346.72","436.73","297.36","374.56"
"2017","1","349.44","436.70","288.95","361.11"
"2017","2","355.87","442.34","305.56","379.79"
"2017","3","335.83","415.77","290.36","359.49"
"2017","4","347.33","428.43","286.56","353.47"
"2018","1","346.49","423.63","272.73","333.45"
"2018","2","349.12","422.32","288.23","348.66"
"2018","3","343.28","414.07","286.27","345.30"
"2018","4","359.30","433.63","301.24","363.56"
"2019","1","350.12","421.15","276.66","332.78"
"2019","2","357.07","424.42","297.67","353.82"
"2019","3","345.09","409.06","297.41","352.54"
"2019","4","356.51","421.70","309.48","366.07"
"2020","1","336.00","395.78","280.62","330.54"
"2020","2","259.12","306.88","211.28","250.22"
"2020","3","244.71","286.57","202.82","237.52"
"2020","4","260.67","304.56","232.42","271.55"
"2021","1","260.20","300.78","219.32","253.52"
"2021","2","299.79","338.62","273.56","309.00"
"2021","3","314.07","349.17","281.61","313.07"
"2021","4","327.14","358.25","279.15","305.70"
"2022","1","328.49","351.71","261.97","280.49"
"2022","2","397.16","412.94","303.14","315.18"
"2022","3","382.54","392.58","284.17","291.63"
"2022","4","393.85","402.71","295.32","301.96"
"2023","1","381.55","386.10","275.86","279.15"
"2023","2","391.79","391.79","313.87","313.87"

NOTE: Inflation-Adjusted air fares are calculated using dollars for the year of the most recent fare release.
SOURCE: Bureau of Transportation Statistics
