Average Domestic Air Fares  

Year,Quarter,U.S. Average (Current $),U.S. Average (Inflation-Adjusted $),Philadelphia -  PA (Current $),Philadelphia -  PA (Inflation-Adjusted $)
"1995","1","296.90","598.64","376.21","758.58"
"1995","2","296.46","592.54","365.15","729.82"
"1995","3","287.51","572.15","376.27","748.76"
"1995","4","287.78","569.93","378.28","749.17"
"1996","1","283.97","557.31","368.15","722.52"
"1996","2","275.45","535.29","370.57","720.15"
"1996","3","269.49","520.94","371.59","718.31"
"1996","4","278.33","534.18","374.66","719.06"
"1997","1","283.40","540.28","382.77","729.72"
"1997","2","289.19","549.13","388.67","738.04"
"1997","3","282.27","533.89","389.32","736.36"
"1997","4","293.51","552.97","416.23","784.17"
"1998","1","304.74","572.59","443.75","833.78"
"1998","2","300.81","562.20","422.37","789.38"
"1998","3","315.25","586.90","411.75","766.55"
"1998","4","316.18","586.60","408.77","758.37"
"1999","1","331.74","613.10","432.29","798.92"
"1999","2","329.33","602.79","427.74","782.90"
"1999","3","317.22","577.03","415.67","756.11"
"1999","4","317.93","574.77","413.81","748.10"
"2000","1","340.23","609.04","441.97","791.18"
"2000","2","339.10","600.67","421.74","747.05"
"2000","3","336.66","591.64","421.22","740.24"
"2000","4","340.08","594.44","414.13","723.87"
"2001","1","347.69","601.97","435.94","754.77"
"2001","2","328.53","562.92","414.65","710.49"
"2001","3","303.02","518.54","379.26","649.00"
"2001","4","299.81","514.49","366.98","629.76"
"2002","1","320.02","547.22","380.32","650.33"
"2002","2","317.79","537.56","371.45","628.33"
"2002","3","303.30","510.87","362.60","610.76"
"2002","4","308.85","518.60","363.23","609.90"
"2003","1","319.19","530.58","390.74","649.52"
"2003","2","314.37","520.68","379.49","628.53"
"2003","3","312.39","514.88","375.48","618.86"
"2003","4","315.77","520.36","370.49","610.53"
"2004","1","320.23","522.99","379.84","620.33"
"2004","2","309.32","498.03","322.07","518.56"
"2004","3","296.54","475.77","284.05","455.74"
"2004","4","297.28","474.13","285.94","456.04"
"2005","1","301.39","477.68","285.24","452.08"
"2005","2","306.60","479.52","289.64","453.00"
"2005","3","305.91","472.69","289.33","447.07"
"2005","4","314.76","483.92","307.46","472.69"
"2006","1","323.34","494.43","310.07","474.14"
"2006","2","341.54","513.57","331.74","498.84"
"2006","3","330.12","493.64","314.83","470.77"
"2006","4","318.16","479.84","302.02","455.50"
"2007","1","317.84","474.39","302.04","450.80"
"2007","2","325.35","476.59","311.70","456.60"
"2007","3","327.56","478.51","311.70","455.35"
"2007","4","329.77","478.34","327.94","475.69"
"2008","1","333.29","478.02","338.68","485.74"
"2008","2","346.93","486.89","338.09","474.48"
"2008","3","358.93","497.93","348.07","482.87"
"2008","4","345.42","493.14","339.76","485.06"
"2009","1","313.82","450.26","301.63","432.78"
"2009","2","301.78","428.45","297.08","421.78"
"2009","3","306.95","432.85","302.99","427.27"
"2009","4","319.85","450.14","325.45","458.02"
"2010","1","328.12","459.92","337.15","472.59"
"2010","2","340.77","475.40","347.64","484.99"
"2010","3","339.71","473.49","345.39","481.40"
"2010","4","334.78","465.24","344.35","478.54"
"2011","1","355.72","488.17","366.03","502.31"
"2011","2","369.77","498.76","388.72","524.31"
"2011","3","360.74","484.59","383.45","515.10"
"2011","4","368.39","495.62","382.32","514.36"
"2012","1","372.83","497.63","405.92","541.80"
"2012","2","384.78","510.10","412.42","546.74"
"2012","3","366.97","484.73","390.30","515.55"
"2012","4","374.23","494.14","387.06","511.08"
"2013","1","378.34","496.64","401.13","526.55"
"2013","2","378.51","494.19","405.52","529.45"
"2013","3","391.64","509.40","413.75","538.16"
"2013","4","388.13","506.25","411.98","537.36"
"2014","1","387.37","501.44","414.25","536.24"
"2014","2","402.31","514.71","437.56","559.80"
"2014","3","399.25","510.20","436.13","557.34"
"2014","4","395.36","509.32","434.33","559.53"
"2015","1","390.13","505.33","427.84","554.18"
"2015","2","388.86","497.69","417.14","533.88"
"2015","3","374.11","477.55","384.35","490.62"
"2015","4","365.39","468.53","371.49","476.35"
"2016","1","359.47","460.64","373.47","478.58"
"2016","2","355.24","449.95","362.69","459.39"
"2016","3","349.11","440.72","362.20","457.24"
"2016","4","346.72","436.73","367.09","462.39"
"2017","1","349.44","436.70","370.05","462.46"
"2017","2","355.87","442.34","390.55","485.44"
"2017","3","335.83","415.77","370.18","458.30"
"2017","4","347.33","428.43","385.46","475.46"
"2018","1","346.49","423.63","378.62","462.92"
"2018","2","349.12","422.32","373.39","451.68"
"2018","3","343.28","414.07","371.74","448.39"
"2018","4","359.30","433.63","393.82","475.30"
"2019","1","350.12","421.15","380.51","457.70"
"2019","2","357.07","424.42","379.00","450.48"
"2019","3","345.09","409.06","354.28","419.95"
"2019","4","356.51","421.70","370.51","438.26"
"2020","1","336.00","395.78","364.30","429.11"
"2020","2","259.12","306.88","258.11","305.68"
"2020","3","244.71","286.57","218.64","256.03"
"2020","4","260.67","304.56","232.20","271.29"
"2021","1","260.20","300.78","237.91","275.01"
"2021","2","299.79","338.62","293.28","331.27"
"2021","3","314.07","349.17","319.87","355.61"
"2021","4","327.14","358.25","340.07","372.41"
"2022","1","328.49","351.71","334.34","357.97"
"2022","2","397.16","412.94","414.31","430.78"
"2022","3","382.54","392.58","405.89","416.54"
"2022","4","393.85","402.71","420.61","430.07"
"2023","1","381.55","386.10","406.34","411.18"
"2023","2","391.79","391.79","419.69","419.69"

NOTE: Inflation-Adjusted air fares are calculated using dollars for the year of the most recent fare release.
SOURCE: Bureau of Transportation Statistics
