Average Domestic Air Fares  

Year,Quarter,U.S. Average (Current $),U.S. Average (Inflation-Adjusted $),Santa Ana (Orange County) -  CA (Current $),Santa Ana (Orange County) -  CA (Inflation-Adjusted $)
"1995","1","296.90","598.64","308.24","621.53"
"1995","2","296.46","592.54","335.97","671.50"
"1995","3","287.51","572.15","336.35","669.33"
"1995","4","287.78","569.93","343.04","679.38"
"1996","1","283.97","557.31","345.00","677.09"
"1996","2","275.45","535.29","306.30","595.25"
"1996","3","269.49","520.94","291.61","563.70"
"1996","4","278.33","534.18","306.61","588.46"
"1997","1","283.40","540.28","302.98","577.60"
"1997","2","289.19","549.13","308.67","586.13"
"1997","3","282.27","533.89","291.96","552.21"
"1997","4","293.51","552.97","308.08","580.42"
"1998","1","304.74","572.59","318.91","599.21"
"1998","2","300.81","562.20","334.58","625.31"
"1998","3","315.25","586.90","340.60","634.09"
"1998","4","316.18","586.60","336.85","624.94"
"1999","1","331.74","613.10","352.27","651.04"
"1999","2","329.33","602.79","358.03","655.31"
"1999","3","317.22","577.03","337.12","613.23"
"1999","4","317.93","574.77","336.31","608.00"
"2000","1","340.23","609.04","359.46","643.47"
"2000","2","339.10","600.67","366.98","650.05"
"2000","3","336.66","591.64","367.15","645.22"
"2000","4","340.08","594.44","366.20","640.10"
"2001","1","347.69","601.97","376.92","652.58"
"2001","2","328.53","562.92","355.73","609.54"
"2001","3","303.02","518.54","313.74","536.88"
"2001","4","299.81","514.49","315.65","541.67"
"2002","1","320.02","547.22","329.35","563.17"
"2002","2","317.79","537.56","318.40","538.59"
"2002","3","303.30","510.87","299.66","504.74"
"2002","4","308.85","518.60","304.72","511.66"
"2003","1","319.19","530.58","302.70","503.18"
"2003","2","314.37","520.68","311.86","516.52"
"2003","3","312.39","514.88","307.19","506.31"
"2003","4","315.77","520.36","299.20","493.05"
"2004","1","320.23","522.99","293.23","478.89"
"2004","2","309.32","498.03","300.82","484.35"
"2004","3","296.54","475.77","294.02","471.73"
"2004","4","297.28","474.13","287.60","458.69"
"2005","1","301.39","477.68","292.12","462.99"
"2005","2","306.60","479.52","315.41","493.30"
"2005","3","305.91","472.69","319.99","494.45"
"2005","4","314.76","483.92","314.00","482.74"
"2006","1","323.34","494.43","319.01","487.82"
"2006","2","341.54","513.57","345.86","520.07"
"2006","3","330.12","493.64","339.17","507.17"
"2006","4","318.16","479.84","318.73","480.70"
"2007","1","317.84","474.39","299.65","447.23"
"2007","2","325.35","476.59","328.78","481.62"
"2007","3","327.56","478.51","333.78","487.60"
"2007","4","329.77","478.34","334.22","484.80"
"2008","1","333.29","478.02","326.37","468.09"
"2008","2","346.93","486.89","335.99","471.53"
"2008","3","358.93","497.93","345.44","479.22"
"2008","4","345.42","493.14","335.68","479.24"
"2009","1","313.82","450.26","290.81","417.25"
"2009","2","301.78","428.45","276.03","391.89"
"2009","3","306.95","432.85","288.03","406.17"
"2009","4","319.85","450.14","286.09","402.63"
"2010","1","328.12","459.92","293.64","411.60"
"2010","2","340.77","475.40","324.89","453.25"
"2010","3","339.71","473.49","339.16","472.72"
"2010","4","334.78","465.24","329.21","457.50"
"2011","1","355.72","488.17","336.90","462.34"
"2011","2","369.77","498.76","364.77","492.01"
"2011","3","360.74","484.59","366.11","491.81"
"2011","4","368.39","495.62","359.41","483.54"
"2012","1","372.83","497.63","347.98","464.47"
"2012","2","384.78","510.10","376.32","498.88"
"2012","3","366.97","484.73","360.21","475.80"
"2012","4","374.23","494.14","366.27","483.63"
"2013","1","378.34","496.64","361.70","474.80"
"2013","2","378.51","494.19","378.74","494.49"
"2013","3","391.64","509.40","386.20","502.33"
"2013","4","388.13","506.25","369.50","481.95"
"2014","1","387.37","501.44","363.15","470.09"
"2014","2","402.31","514.71","389.47","498.28"
"2014","3","399.25","510.20","390.26","498.72"
"2014","4","395.36","509.32","386.64","498.09"
"2015","1","390.13","505.33","377.03","488.37"
"2015","2","388.86","497.69","390.51","499.80"
"2015","3","374.11","477.55","371.72","474.50"
"2015","4","365.39","468.53","364.77","467.74"
"2016","1","359.47","460.64","358.71","459.67"
"2016","2","355.24","449.95","362.48","459.12"
"2016","3","349.11","440.72","356.10","449.54"
"2016","4","346.72","436.73","353.34","445.07"
"2017","1","349.44","436.70","356.63","445.68"
"2017","2","355.87","442.34","367.76","457.11"
"2017","3","335.83","415.77","342.89","424.52"
"2017","4","347.33","428.43","347.16","428.21"
"2018","1","346.49","423.63","349.15","426.88"
"2018","2","349.12","422.32","366.46","443.30"
"2018","3","343.28","414.07","368.79","444.83"
"2018","4","359.30","433.63","404.29","487.94"
"2019","1","350.12","421.15","360.70","433.88"
"2019","2","357.07","424.42","388.42","461.68"
"2019","3","345.09","409.06","386.12","457.69"
"2019","4","356.51","421.70","401.61","475.04"
"2020","1","336.00","395.78","378.53","445.88"
"2020","2","259.12","306.88","274.94","325.61"
"2020","3","244.71","286.57","271.15","317.54"
"2020","4","260.67","304.56","292.05","341.22"
"2021","1","260.20","300.78","272.88","315.43"
"2021","2","299.79","338.62","303.55","342.87"
"2021","3","314.07","349.17","319.19","354.85"
"2021","4","327.14","358.25","334.32","366.12"
"2022","1","328.49","351.71","326.68","349.77"
"2022","2","397.16","412.94","405.19","421.29"
"2022","3","382.54","392.58","385.96","396.09"
"2022","4","393.85","402.71","395.43","404.33"
"2023","1","381.55","386.10","376.81","381.30"
"2023","2","391.79","391.79","401.44","401.44"

NOTE: Inflation-Adjusted air fares are calculated using dollars for the year of the most recent fare release.
SOURCE: Bureau of Transportation Statistics
