Average Domestic Air Fares  

Year,Quarter,U.S. Average (Current $),U.S. Average (Inflation-Adjusted $),Seattle/Tacoma -  WA (Current $),Seattle/Tacoma -  WA (Inflation-Adjusted $)
"1995","1","296.90","598.64","288.23","581.17"
"1995","2","296.46","592.54","310.15","619.89"
"1995","3","287.51","572.15","276.91","551.04"
"1995","4","287.78","569.93","271.44","537.58"
"1996","1","283.97","557.31","262.74","515.65"
"1996","2","275.45","535.29","262.63","510.38"
"1996","3","269.49","520.94","248.37","480.11"
"1996","4","278.33","534.18","266.05","510.61"
"1997","1","283.40","540.28","259.19","494.12"
"1997","2","289.19","549.13","283.36","538.07"
"1997","3","282.27","533.89","278.58","526.91"
"1997","4","293.51","552.97","291.82","549.78"
"1998","1","304.74","572.59","296.46","557.03"
"1998","2","300.81","562.20","292.44","546.55"
"1998","3","315.25","586.90","307.76","572.95"
"1998","4","316.18","586.60","311.04","577.06"
"1999","1","331.74","613.10","315.85","583.73"
"1999","2","329.33","602.79","319.00","583.87"
"1999","3","317.22","577.03","313.87","570.93"
"1999","4","317.93","574.77","315.64","570.63"
"2000","1","340.23","609.04","324.24","580.43"
"2000","2","339.10","600.67","333.60","590.92"
"2000","3","336.66","591.64","342.04","601.09"
"2000","4","340.08","594.44","345.21","603.41"
"2001","1","347.69","601.97","338.78","586.55"
"2001","2","328.53","562.92","325.64","557.98"
"2001","3","303.02","518.54","309.74","530.04"
"2001","4","299.81","514.49","304.04","521.75"
"2002","1","320.02","547.22","316.91","541.90"
"2002","2","317.79","537.56","320.07","541.42"
"2002","3","303.30","510.87","301.65","508.09"
"2002","4","308.85","518.60","309.72","520.06"
"2003","1","319.19","530.58","317.28","527.41"
"2003","2","314.37","520.68","315.39","522.37"
"2003","3","312.39","514.88","323.75","533.60"
"2003","4","315.77","520.36","326.40","537.87"
"2004","1","320.23","522.99","320.74","523.81"
"2004","2","309.32","498.03","317.88","511.82"
"2004","3","296.54","475.77","314.83","505.12"
"2004","4","297.28","474.13","313.56","500.10"
"2005","1","301.39","477.68","312.47","495.24"
"2005","2","306.60","479.52","333.43","521.49"
"2005","3","305.91","472.69","335.11","517.81"
"2005","4","314.76","483.92","331.73","510.00"
"2006","1","323.34","494.43","337.26","515.72"
"2006","2","341.54","513.57","360.23","541.68"
"2006","3","330.12","493.64","363.84","544.06"
"2006","4","318.16","479.84","350.39","528.45"
"2007","1","317.84","474.39","343.47","512.64"
"2007","2","325.35","476.59","352.64","516.57"
"2007","3","327.56","478.51","362.48","529.53"
"2007","4","329.77","478.34","356.29","516.81"
"2008","1","333.29","478.02","345.36","495.32"
"2008","2","346.93","486.89","352.05","494.07"
"2008","3","358.93","497.93","362.45","502.82"
"2008","4","345.42","493.14","353.51","504.69"
"2009","1","313.82","450.26","309.33","443.83"
"2009","2","301.78","428.45","303.04","430.24"
"2009","3","306.95","432.85","322.77","455.16"
"2009","4","319.85","450.14","321.86","452.97"
"2010","1","328.12","459.92","327.64","459.26"
"2010","2","340.77","475.40","347.37","484.61"
"2010","3","339.71","473.49","353.87","493.22"
"2010","4","334.78","465.24","343.91","477.93"
"2011","1","355.72","488.17","345.21","473.74"
"2011","2","369.77","498.76","369.95","498.99"
"2011","3","360.74","484.59","368.29","494.73"
"2011","4","368.39","495.62","367.90","494.96"
"2012","1","372.83","497.63","359.59","479.96"
"2012","2","384.78","510.10","391.61","519.15"
"2012","3","366.97","484.73","386.26","510.21"
"2012","4","374.23","494.14","390.91","516.17"
"2013","1","378.34","496.64","373.09","489.75"
"2013","2","378.51","494.19","380.79","497.17"
"2013","3","391.64","509.40","383.46","498.77"
"2013","4","388.13","506.25","383.48","500.19"
"2014","1","387.37","501.44","369.01","477.68"
"2014","2","402.31","514.71","384.26","491.61"
"2014","3","399.25","510.20","377.14","481.95"
"2014","4","395.36","509.32","388.28","500.21"
"2015","1","390.13","505.33","365.95","474.01"
"2015","2","388.86","497.69","374.29","479.04"
"2015","3","374.11","477.55","360.67","460.40"
"2015","4","365.39","468.53","367.24","470.91"
"2016","1","359.47","460.64","337.83","432.91"
"2016","2","355.24","449.95","335.11","424.46"
"2016","3","349.11","440.72","319.90","403.85"
"2016","4","346.72","436.73","338.79","426.74"
"2017","1","349.44","436.70","326.09","407.52"
"2017","2","355.87","442.34","345.07","428.91"
"2017","3","335.83","415.77","323.72","400.78"
"2017","4","347.33","428.43","345.36","425.99"
"2018","1","346.49","423.63","331.84","405.73"
"2018","2","349.12","422.32","339.07","410.16"
"2018","3","343.28","414.07","327.17","394.63"
"2018","4","359.30","433.63","350.95","423.56"
"2019","1","350.12","421.15","326.82","393.12"
"2019","2","357.07","424.42","340.03","404.16"
"2019","3","345.09","409.06","328.27","389.13"
"2019","4","356.51","421.70","350.05","414.05"
"2020","1","336.00","395.78","307.52","362.23"
"2020","2","259.12","306.88","270.70","320.59"
"2020","3","244.71","286.57","254.62","298.18"
"2020","4","260.67","304.56","285.10","333.10"
"2021","1","260.20","300.78","256.23","296.19"
"2021","2","299.79","338.62","293.09","331.05"
"2021","3","314.07","349.17","306.79","341.06"
"2021","4","327.14","358.25","346.53","379.49"
"2022","1","328.49","351.71","338.22","362.12"
"2022","2","397.16","412.94","437.21","454.59"
"2022","3","382.54","392.58","425.40","436.57"
"2022","4","393.85","402.71","419.85","429.29"
"2023","1","381.55","386.10","378.83","383.34"
"2023","2","391.79","391.79","409.93","409.93"

NOTE: Inflation-Adjusted air fares are calculated using dollars for the year of the most recent fare release.
SOURCE: Bureau of Transportation Statistics
