"Flights (All U.S. Carriers - Dallas/Fort Worth, TX: Dallas/Fort Worth International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"29,537","1,365","30,902"
2002,11,"27,705","1,300","29,005"
2002,12,"28,455","1,372","29,827"
2002,TOTAL,"3,27,635","15,733","3,43,368"
2003,1,"28,625","1,367","29,992"
2003,2,"24,805","1,189","25,994"
2003,3,"28,752","1,377","30,129"
2003,4,"27,835","1,240","29,075"
2003,5,"28,738","1,242","29,980"
2003,6,"28,258","1,326","29,584"
2003,7,"29,102","1,461","30,563"
2003,8,"29,091","1,491","30,582"
2003,9,"28,010","1,232","29,242"
2003,10,"29,646","1,274","30,920"
2003,11,"29,039","1,335","30,374"
2003,12,"30,608","1,428","32,036"
2003,TOTAL,"3,42,509","15,962","3,58,471"
2004,1,"30,351","1,475","31,826"
2004,2,"28,326","1,424","29,750"
2004,3,"30,985","1,534","32,519"
2004,4,"29,981","1,487","31,468"
2004,5,"30,691","1,504","32,195"
2004,6,"29,805","1,570","31,375"
2004,7,"30,721","1,703","32,424"
2004,8,"30,933","1,705","32,638"
2004,9,"29,086","1,413","30,499"
2004,10,"30,423","1,427","31,850"
2004,11,"28,649","1,453","30,102"
2004,12,"28,382","1,575","29,957"
2004,TOTAL,"3,58,333","18,270","3,76,603"
2005,1,"27,441","1,668","29,109"
2005,2,"22,777","1,561","24,338"
2005,3,"25,813","1,747","27,560"
2005,4,"25,209","1,666","26,875"
2005,5,"26,657","1,740","28,397"
2005,6,"26,531","1,833","28,364"
2005,7,"27,458","1,927","29,385"
2005,8,"27,411","1,824","29,235"
2005,9,"25,535","1,569","27,104"
2005,10,"25,973","1,584","27,557"
2005,11,"25,342","1,542","26,884"
2005,12,"25,661","1,660","27,321"
2005,TOTAL,"3,11,808","20,321","3,32,129"
2006,1,"25,650","1,716","27,366"
2006,2,"22,801","1,594","24,395"
2006,3,"25,376","1,789","27,165"
2006,4,"25,138","1,745","26,883"
2006,5,"26,293","1,791","28,084"
2006,6,"25,717","1,756","27,473"
2006,7,"26,379","1,818","28,197"
2006,8,"26,527","1,803","28,330"
2006,9,"24,912","1,607","26,519"
2006,10,"26,180","1,646","27,826"
2006,11,"24,439","1,573","26,012"
2006,12,"25,327","1,767","27,094"
2006,TOTAL,"3,04,739","20,605","3,25,344"
2007,1,"24,532","1,778","26,310"
2007,2,"22,301","1,578","23,879"
2007,3,"25,354","1,789","27,143"
2007,4,"24,298","1,714","26,012"
2007,5,"25,430","1,767","27,197"
2007,6,"24,354","1,729","26,083"
2007,7,"25,804","1,813","27,617"
2007,8,"26,162","1,807","27,969"
2007,9,"24,668","1,522","26,190"
2007,10,"25,800","1,562","27,362"
2007,11,"24,875","1,544","26,419"
2007,12,"24,507","1,735","26,242"
2007,TOTAL,"2,98,085","20,338","3,18,423"
2008,1,"24,175","1,729","25,904"
2008,2,"22,528","1,600","24,128"
2008,3,"22,832","1,663","24,495"
2008,4,"22,999","1,550","24,549"
2008,5,"24,752","1,639","26,391"
2008,6,"24,626","1,607","26,233"
2008,7,"25,846","1,683","27,529"
2008,8,"25,624","1,674","27,298"
2008,9,"23,586","1,445","25,031"
2008,10,"24,071","1,501","25,572"
2008,11,"22,297","1,517","23,814"
2008,12,"23,025","1,559","24,584"
2008,TOTAL,"2,86,361","19,167","3,05,528"
2009,1,"22,926","1,553","24,479"
2009,2,"21,207","1,422","22,629"
2009,3,"23,465","1,557","25,022"
2009,4,"22,786","1,502","24,288"
2009,5,"23,735","1,378","25,113"
2009,6,"23,493","1,384","24,877"
2009,7,"24,716","1,535","26,251"
2009,8,"24,842","1,532","26,374"
2009,9,"23,499","1,425","24,924"
2009,10,"24,039","1,484","25,523"
2009,11,"23,264","1,467","24,731"
2009,12,"23,475","1,562","25,037"
2009,TOTAL,"2,81,447","17,801","2,99,248"
2010,1,"23,755","1,590","25,345"
2010,2,"20,806","1,408","22,214"
