"Flights (All U.S. Carriers - Philadelphia, PA: Philadelphia International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"14,733",798,"15,531"
2002,11,"13,986",812,"14,798"
2002,12,"13,862",811,"14,673"
2002,TOTAL,"1,30,246","8,648","1,38,894"
2003,1,"13,709",841,"14,550"
2003,2,"11,415",738,"12,153"
2003,3,"13,897",914,"14,811"
2003,4,"13,711",896,"14,607"
2003,5,"13,997",983,"14,980"
2003,6,"14,167","1,020","15,187"
2003,7,"14,708","1,072","15,780"
2003,8,"14,628","1,095","15,723"
2003,9,"13,886","1,001","14,887"
2003,10,"14,546","1,035","15,581"
2003,11,"13,559","1,027","14,586"
2003,12,"13,803","1,072","14,875"
2003,TOTAL,"1,66,026","11,694","1,77,720"
2004,1,"14,106","1,150","15,256"
2004,2,"13,455","1,115","14,570"
2004,3,"14,481","1,211","15,692"
2004,4,"14,314","1,154","15,468"
2004,5,"14,941","1,337","16,278"
2004,6,"14,902","1,245","16,147"
2004,7,"15,164","1,249","16,413"
2004,8,"15,700","1,272","16,972"
2004,9,"15,148","1,022","16,170"
2004,10,"16,829","1,024","17,853"
2004,11,"17,129","1,082","18,211"
2004,12,"17,209","1,124","18,333"
2004,TOTAL,"1,83,378","13,985","1,97,363"
2005,1,"16,273","1,127","17,400"
2005,2,"16,081","1,067","17,148"
2005,3,"18,449","1,241","19,690"
2005,4,"18,303","1,233","19,536"
2005,5,"18,803","1,291","20,094"
2005,6,"17,668","1,283","18,951"
2005,7,"17,799","1,374","19,173"
2005,8,"18,454","1,347","19,801"
2005,9,"17,275","1,188","18,463"
2005,10,"17,471","1,167","18,638"
2005,11,"17,334","1,022","18,356"
2005,12,"17,467","1,083","18,550"
2005,TOTAL,"2,11,377","14,423","2,25,800"
2006,1,"16,373","1,018","17,391"
2006,2,"15,056",975,"16,031"
2006,3,"17,774","1,146","18,920"
2006,4,"17,049","1,131","18,180"
2006,5,"17,774","1,238","19,012"
2006,6,"16,870","1,304","18,174"
2006,7,"17,670","1,368","19,038"
2006,8,"18,094","1,355","19,449"
2006,9,"16,751","1,124","17,875"
2006,10,"17,654","1,092","18,746"
2006,11,"16,757",947,"17,704"
