"Flights (All Carriers - Santa Ana, CA: John Wayne Airport-Orange County (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"4,128",,"4,128"
2002,11,"3,826",,"3,826"
2002,12,"3,985",,"3,985"
2002,TOTAL,"43,860",4,"43,864"
2003,1,"4,015",,"4,015"
2003,2,"3,579",,"3,579"
2003,3,"3,943",,"3,943"
2003,4,"3,902",,"3,902"
2003,5,"4,086",,"4,086"
2003,6,"4,038",,"4,038"
2003,7,"4,191",,"4,191"
2003,8,"4,265",,"4,265"
2003,9,"4,197",,"4,197"
2003,10,"4,387",,"4,387"
2003,11,"4,174",,"4,174"
2003,12,"4,325",1,"4,326"
2003,TOTAL,"49,102",1,"49,103"
2004,1,"4,360",,"4,360"
2004,2,"4,073",,"4,073"
2004,3,"4,467",,"4,467"
2004,4,"4,334",,"4,334"
2004,5,"4,409",,"4,409"
2004,6,"4,334",,"4,334"
2004,7,"4,447",,"4,447"
2004,8,"4,516",,"4,516"
2004,9,"4,291",,"4,291"
2004,10,"4,393",,"4,393"
2004,11,"4,225",,"4,225"
2004,12,"4,366",,"4,366"
2004,TOTAL,"52,215",0,"52,215"
2005,1,"4,254",,"4,254"
2005,2,"3,852",,"3,852"
2005,3,"4,308",,"4,308"
2005,4,"4,193",,"4,193"
2005,5,"4,288",,"4,288"
2005,6,"4,252",,"4,252"
2005,7,"4,394",,"4,394"
2005,8,"4,439",,"4,439"
2005,9,"4,172",,"4,172"
2005,10,"4,305",,"4,305"
2005,11,"4,189",,"4,189"
2005,12,"4,234",,"4,234"
2005,TOTAL,"50,880",0,"50,880"
2006,1,"4,217",,"4,217"
2006,2,"3,851",,"3,851"
2006,3,"4,340",,"4,340"
2006,4,"4,208",,"4,208"
2006,5,"4,426",,"4,426"
2006,6,"4,353",,"4,353"
2006,7,"4,432",,"4,432"
2006,8,"4,558",,"4,558"
2006,9,"4,237",,"4,237"
2006,10,"4,385",,"4,385"
2006,11,"4,164",,"4,164"
2006,12,"4,283",,"4,283"
2006,TOTAL,"51,454",0,"51,454"
2007,1,"4,337",,"4,337"
2007,2,"3,911",,"3,911"
