"Flights (All U.S. Carriers - Seattle, WA: Seattle/Tacoma International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"12,375",995,"13,370"
2002,11,"11,442",962,"12,404"
2002,12,"12,040","1,021","13,061"
2002,TOTAL,"1,44,896","11,554","1,56,450"
2003,1,"11,740","1,016","12,756"
2003,2,"10,562",920,"11,482"
2003,3,"11,846","1,033","12,879"
2003,4,"11,552",993,"12,545"
2003,5,"12,231","1,002","13,233"
2003,6,"13,145","1,062","14,207"
2003,7,"14,150","1,118","15,268"
2003,8,"14,207","1,114","15,321"
2003,9,"12,477",983,"13,460"
2003,10,"12,564",975,"13,539"
2003,11,"11,605",932,"12,537"
2003,12,"12,216","1,017","13,233"
2003,TOTAL,"1,48,295","12,165","1,60,460"
2004,1,"11,289","1,020","12,309"
2004,2,"11,118","1,068","12,186"
2004,3,"12,258","1,182","13,440"
2004,4,"12,076","1,142","13,218"
2004,5,"12,816","1,136","13,952"
2004,6,"13,427","1,120","14,547"
2004,7,"14,176","1,164","15,340"
2004,8,"14,255","1,173","15,428"
2004,9,"12,698","1,087","13,785"
2004,10,"12,655","1,077","13,732"
2004,11,"11,677",996,"12,673"
2004,12,"11,925","1,097","13,022"
2004,TOTAL,"1,50,370","13,262","1,63,632"
2005,1,"11,302","1,087","12,389"
2005,2,"10,436","1,026","11,462"
2005,3,"11,758","1,153","12,911"
2005,4,"11,361","1,060","12,421"
2005,5,"11,825","1,045","12,870"
2005,6,"12,460","1,083","13,543"
2005,7,"13,333","1,167","14,500"
2005,8,"13,296","1,079","14,375"
2005,9,"12,130","1,025","13,155"
2005,10,"12,161","1,032","13,193"
2005,11,"11,196",888,"12,084"
2005,12,"11,553",946,"12,499"
2005,TOTAL,"1,42,811","12,591","1,55,402"
2006,1,"11,198",985,"12,183"
2006,2,"10,200",903,"11,103"
2006,3,"11,478","1,001","12,479"
2006,4,"11,476",922,"12,398"
2006,5,"12,410",909,"13,319"
2006,6,"12,839",922,"13,761"
2006,7,"13,502",968,"14,470"
2006,8,"13,710",980,"14,690"
2006,9,"12,139",925,"13,064"
2006,10,"12,218",950,"13,168"
