"Passengers (All U.S. Carriers - Atlanta, GA: Hartsfield-Jackson Atlanta International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"29,96,724","1,89,926","31,86,650"
2002,11,"28,26,112","1,85,249","30,11,361"
2002,12,"30,85,834","1,98,350","32,84,184"
2002,TOTAL,"3,46,03,576","24,16,456","3,70,20,032"
2003,1,"26,86,976","1,84,248","28,71,224"
2003,2,"25,54,385","1,56,427","27,10,812"
2003,3,"30,44,047","1,81,394","32,25,441"
2003,4,"28,36,458","1,72,833","30,09,291"
2003,5,"29,92,648","1,90,182","31,82,830"
2003,6,"31,71,845","2,18,371","33,90,216"
2003,7,"33,26,522","2,21,725","35,48,247"
2003,8,"32,20,210","2,21,822","34,42,032"
2003,9,"27,12,924","1,83,750","28,96,674"
2003,10,"31,55,206","1,95,975","33,51,181"
2003,11,"29,33,540","1,86,253","31,19,793"
2003,12,"30,76,441","2,14,814","32,91,255"
2003,TOTAL,"3,57,11,202","23,27,794","3,80,38,996"
2004,1,"27,47,324","1,89,534","29,36,858"
2004,2,"27,76,004","1,70,679","29,46,683"
2004,3,"32,86,980","2,10,729","34,97,709"
2004,4,"32,00,608","2,11,502","34,12,110"
2004,5,"32,47,361","2,35,082","34,82,443"
2004,6,"33,82,186","2,58,664","36,40,850"
2004,7,"34,98,461","2,59,677","37,58,138"
2004,8,"32,66,995","2,38,311","35,05,306"
2004,9,"26,51,899","2,04,312","28,56,211"
2004,10,"32,25,533","2,06,626","34,32,159"
2004,11,"31,05,930","2,02,604","33,08,534"
2004,12,"32,03,559","2,39,982","34,43,541"
2004,TOTAL,"3,75,92,840","26,27,702","4,02,20,542"
2005,1,"28,78,422","2,21,408","30,99,830"
2005,2,"28,72,057","1,96,797","30,68,854"
2005,3,"35,57,423","2,49,220","38,06,643"
2005,4,"33,60,270","2,30,969","35,91,239"
2005,5,"34,97,075","2,59,153","37,56,228"
2005,6,"35,21,952","2,72,072","37,94,024"
2005,7,"36,04,111","2,69,012","38,73,123"
2005,8,"33,75,819","2,43,398","36,19,217"
2005,9,"28,68,340","2,28,648","30,96,988"
2005,10,"30,52,116","2,18,504","32,70,620"
2005,11,"29,91,120","2,16,567","32,07,687"
2005,12,"30,60,904","2,79,829","33,40,733"
2005,TOTAL,"3,86,39,609","28,85,577","4,15,25,186"
2006,1,"28,25,100","2,41,746","30,66,846"
2006,2,"26,95,120","2,21,574","29,16,694"
2006,3,"33,46,864","2,99,157","36,46,021"
2006,4,"30,92,980","2,82,694","33,75,674"
2006,5,"31,55,950","3,17,505","34,73,455"
2006,6,"33,19,604","3,78,916","36,98,520"
2006,7,"34,40,481","3,71,907","38,12,388"
2006,8,"31,79,002","3,27,408","35,06,410"
2006,9,"27,48,243","2,68,907","30,17,150"
2006,10,"31,66,004","2,57,639","34,23,643"
2006,11,"31,00,776","2,67,777","33,68,553"
2006,12,"30,27,458","3,36,146","33,63,604"
2006,TOTAL,"3,70,97,582","35,71,376","4,06,68,958"
2007,1,"27,44,136","2,98,801","30,42,937"
2007,2,"26,42,977","2,72,971","29,15,948"
2007,3,"33,47,887","3,51,048","36,98,935"
2007,4,"32,22,845","3,04,573","35,27,418"
2007,5,"33,18,869","3,35,916","36,54,785"
2007,6,"35,40,330","3,97,097","39,37,427"
2007,7,"36,54,986","3,98,574","40,53,560"
2007,8,"35,56,705","3,59,051","39,15,756"
2007,9,"29,82,422","2,92,995","32,75,417"
2007,10,"33,88,161","2,86,441","36,74,602"
2007,11,"31,76,190","2,86,557","34,62,747"
2007,12,"30,65,447","3,47,605","34,13,052"
2007,TOTAL,"3,86,40,955","39,31,629","4,25,72,584"
2008,1,"28,23,518","3,09,242","31,32,760"
2008,2,"29,05,143","2,92,983","31,98,126"
2008,3,"34,17,624","3,68,400","37,86,024"
2008,4,"32,00,599","3,17,788","35,18,387"
2008,5,"33,10,316","3,63,019","36,73,335"
2008,6,"34,77,802","4,13,404","38,91,206"
2008,7,"36,52,009","4,13,742","40,65,751"
2008,8,"34,88,127","3,72,901","38,61,028"
2008,9,"30,47,701","2,95,862","33,43,563"
2008,10,"34,16,195","2,90,986","37,07,181"
2008,11,"31,08,720","2,85,717","33,94,437"
