"Passengers (All Carriers - Boise, ID: Boise Air Terminal (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"113,684",94,"113,778"
2002,11,"108,537",,"108,537"
2002,12,"126,876",,"126,876"
2002,TOTAL,"1,256,591",325,"1,256,916"
2003,1,"109,323",4,"109,327"
2003,2,"102,754",6,"102,760"
2003,3,"115,814",4,"115,818"
2003,4,"97,584",34,"97,618"
2003,5,"108,447",81,"108,528"
2003,6,"120,736",64,"120,800"
2003,7,"131,870",,"131,870"
2003,8,"127,524",,"127,524"
2003,9,"104,260",,"104,260"
2003,10,"110,810",,"110,810"
2003,11,"106,614",,"106,614"
2003,12,"116,776",,"116,776"
2003,TOTAL,"1,352,512",193,"1,352,705"
2004,1,"101,112",33,"101,145"
2004,2,"100,915",28,"100,943"
2004,3,"120,415",39,"120,454"
2004,4,"107,706",37,"107,743"
2004,5,"114,930",66,"114,996"
2004,6,"130,556",,"130,556"
2004,7,"138,886",,"138,886"
2004,8,"136,462",,"136,462"
2004,9,"119,130",,"119,130"
2004,10,"120,933",,"120,933"
2004,11,"122,781",,"122,781"
2004,12,"130,699",,"130,699"
2004,TOTAL,"1,444,525",203,"1,444,728"
2005,1,"114,520",,"114,520"
2005,2,"108,228",13,"108,241"
2005,3,"131,485",,"131,485"
2005,4,"118,671",31,"118,702"
2005,5,"126,935",61,"126,996"
2005,6,"143,537",124,"143,661"
2005,7,"152,160",125,"152,285"
2005,8,"153,347",102,"153,449"
2005,9,"131,394",12,"131,406"
2005,10,"131,136",0,"131,136"
2005,11,"128,868",,"128,868"
2005,12,"134,750",56,"134,806"
2005,TOTAL,"1,575,031",524,"1,575,555"
2006,1,"123,074",3,"123,077"
2006,2,"117,557",31,"117,588"
2006,3,"141,837",35,"141,872"
2006,4,"122,227",2,"122,229"
2006,5,"135,570",0,"135,570"
2006,6,"152,865",0,"152,865"
2006,7,"155,188",,"155,188"
2006,8,"156,757",,"156,757"
2006,9,"135,015",,"135,015"
2006,10,"134,434",,"134,434"
2006,11,"135,315",,"135,315"
2006,12,"137,763",9,"137,772"
2006,TOTAL,"1,647,602",80,"1,647,682"
2007,1,"125,403",,"125,403"
2007,2,"119,238",,"119,238"
2007,3,"140,462",,"140,462"
2007,4,"126,002",,"126,002"
2007,5,"140,257",,"140,257"
2007,6,"156,043",,"156,043"
2007,7,"162,569",8,"162,577"
2007,8,"161,767",,"161,767"
2007,9,"136,785",,"136,785"
2007,10,"137,720",,"137,720"
2007,11,"139,478",,"139,478"
2007,12,"136,242",,"136,242"
2007,TOTAL,"1,681,966",8,"1,681,974"
2008,1,"129,167",,"129,167"
2008,2,"124,519",,"124,519"
2008,3,"135,334",,"135,334"
2008,4,"125,790",,"125,790"
2008,5,"132,976",,"132,976"
2008,6,"151,063",,"151,063"
2008,7,"153,950",,"153,950"
2008,8,"149,187",,"149,187"
2008,9,"122,112",,"122,112"
2008,10,"119,971",,"119,971"
2008,11,"107,829",4,"107,833"
2008,12,"117,006",1,"117,007"
2008,TOTAL,"1,568,904",5,"1,568,909"
2009,1,"105,549",3,"105,552"
2009,2,"103,531",11,"103,542"
2009,3,"119,687",,"119,687"
2009,4,"104,390",4,"104,394"
2009,5,"112,107",,"112,107"
2009,6,"127,325",,"127,325"
2009,7,"133,254",4,"133,258"
2009,8,"129,219",7,"129,226"
2009,9,"116,785",1,"116,786"
2009,10,"114,131",,"114,131"
2009,11,"109,986",,"109,986"
2009,12,"117,303",157,"117,460"
2009,TOTAL,"1,393,267",187,"1,393,454"
2010,1,"106,308",161,"106,469"
2010,2,"96,743",115,"96,858"
2010,3,"118,277",27,"118,304"
2010,4,"105,375",9,"105,384"
2010,5,"114,182",14,"114,196"
