"Passengers (All Carriers - Kansas City, MO: Kansas City International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"413,501","1,436","414,937"
2002,11,"366,092","1,118","367,210"
2002,12,"417,007","1,159","418,166"
2002,TOTAL,"5,079,758","16,473","5,096,231"
2003,1,"335,652",967,"336,619"
2003,2,"326,332",864,"327,196"
2003,3,"406,120","1,096","407,216"
2003,4,"358,821",669,"359,490"
2003,5,"431,465",139,"431,604"
2003,6,"452,261","1,543","453,804"
2003,7,"484,437",,"484,437"
2003,8,"429,331",,"429,331"
2003,9,"374,743",753,"375,496"
2003,10,"421,928","1,247","423,175"
2003,11,"371,567","1,039","372,606"
2003,12,"405,068","1,030","406,098"
2003,TOTAL,"4,797,725","9,347","4,807,072"
2004,1,"336,052",703,"336,755"
2004,2,"325,412",646,"326,058"
2004,3,"437,443",665,"438,108"
2004,4,"395,082",632,"395,714"
2004,5,"451,963",734,"452,697"
2004,6,"487,020","1,019","488,039"
2004,7,"498,488","1,408","499,896"
2004,8,"435,804","1,265","437,069"
2004,9,"396,009","1,336","397,345"
2004,10,"429,972","1,420","431,392"
2004,11,"402,387","1,527","403,914"
2004,12,"404,593","1,895","406,488"
2004,TOTAL,"5,000,225","13,250","5,013,475"
2005,1,"347,413","2,034","349,447"
2005,2,"332,141","1,812","333,953"
2005,3,"433,190","2,010","435,200"
2005,4,"390,917","1,600","392,517"
2005,5,"461,273","1,937","463,210"
2005,6,"475,555","2,324","477,879"
2005,7,"494,420","2,155","496,575"
2005,8,"430,244","1,840","432,084"
2005,9,"403,575","1,486","405,061"
2005,10,"430,116","1,600","431,716"
2005,11,"412,229","1,049","413,278"
2005,12,"407,034","1,726","408,760"
2005,TOTAL,"5,018,107","21,573","5,039,680"
2006,1,"372,767","2,347","375,114"
2006,2,"364,770","2,142","366,912"
2006,3,"469,968","3,046","473,014"
2006,4,"422,937","1,818","424,755"
2006,5,"492,668","2,715","495,383"
2006,6,"506,073","3,114","509,187"
2006,7,"506,892","3,108","510,000"
2006,8,"471,944","1,929","473,873"
2006,9,"433,217","1,802","435,019"
2006,10,"476,172","1,951","478,123"
2006,11,"452,718","2,114","454,832"
2006,12,"448,140","3,496","451,636"
2006,TOTAL,"5,418,266","29,582","5,447,848"
2007,1,"395,166","3,788","398,954"
2007,2,"385,600","4,071","389,671"
2007,3,"476,404","4,444","480,848"
2007,4,"449,725","2,667","452,392"
2007,5,"528,760","2,622","531,382"
2007,6,"553,612","2,686","556,298"
2007,7,"571,716","1,642","573,358"
2007,8,"527,444","1,391","528,835"
2007,9,"463,554","1,420","464,974"
2007,10,"513,936","1,612","515,548"
2007,11,"482,305","2,116","484,421"
2007,12,"441,238","3,674","444,912"
2007,TOTAL,"5,789,460","32,133","5,821,593"
2008,1,"404,530","4,421","408,951"
2008,2,"397,490","4,048","401,538"
2008,3,"483,944","4,779","488,723"
2008,4,"447,767","2,580","450,347"
2008,5,"514,721","2,402","517,123"
2008,6,"511,493","2,218","513,711"
2008,7,"515,303","1,956","517,259"
2008,8,"454,006","1,477","455,483"
2008,9,"395,813",968,"396,781"
2008,10,"441,265","1,519","442,784"
2008,11,"373,192","2,461","375,653"
2008,12,"402,334","3,158","405,492"
2008,TOTAL,"5,341,858","31,987","5,373,845"
2009,1,"332,546","3,119","335,665"
2009,2,"321,050","2,517","323,567"
2009,3,"402,558","2,291","404,849"
2009,4,"384,009","1,793","385,802"
2009,5,"442,289",251,"442,540"
2009,6,"450,299",960,"451,259"
2009,7,"491,163",892,"492,055"
2009,8,"418,317",783,"419,100"
2009,9,"396,071",625,"396,696"
2009,10,"436,104","1,285","437,389"
2009,11,"393,185","1,561","394,746"
2009,12,"397,329","1,949","399,278"
2009,TOTAL,"4,864,920","18,026","4,882,946"
2010,1,"337,067","2,601","339,668"
2010,2,"315,065","2,285","317,350"
2010,3,"408,059","2,507","410,566"
2010,4,"394,278","1,801","396,079"
2010,5,"444,213","1,474","445,687"
2010,6,"469,725","1,490","471,215"
2010,7,"480,499","1,426","481,925"
2010,8,"421,161","1,067","422,228"
2010,9,"405,256",702,"405,958"
2010,10,"435,575","1,695","437,270"
2010,11,"403,189","2,216","405,405"
2010,12,"399,427","2,593","402,020"
2010,TOTAL,"4,913,514","21,857","4,935,371"
2011,1,"339,649","3,721","343,370"
2011,2,"308,494","3,135","311,629"
2011,3,"417,118","4,144","421,262"
2011,4,"385,579","2,964","388,543"
2011,5,"455,699","1,749","457,448"
2011,6,"477,429","1,861","479,290"
2011,7,"489,420","1,799","491,219"
2011,8,"431,668","1,328","432,996"
2011,9,"409,349","1,044","410,393"
2011,10,"434,765","1,396","436,161"
2011,11,"417,003","1,910","418,913"
2011,12,"404,006","3,209","407,215"
2011,TOTAL,"4,970,179","28,260","4,998,439"
2012,1,"347,632","3,279","350,911"
2012,2,"339,016","3,413","342,429"
2012,3,"433,601","3,643","437,244"
2012,4,"396,598","2,524","399,122"
2012,5,"447,968","1,701","449,669"
2012,6,"441,907","1,911","443,818"
2012,7,"453,609","1,566","455,175"
2012,8,"408,375","1,189","409,564"
2012,9,"378,663","1,021","379,684"
2012,10,"416,234","1,404","417,638"
2012,11,"390,561","1,463","392,024"
2012,12,"372,535","2,194","374,729"
2012,TOTAL,"4,826,699","25,308","4,852,007"
2013,1,"335,715","2,197","337,912"
2013,2,"303,472","2,552","306,024"
2013,3,"396,163","3,142","399,305"
2013,4,"386,889","2,294","389,183"
2013,5,"454,145","1,741","455,886"
2013,6,"459,541","1,722","461,263"
2013,7,"459,655","1,285","460,940"
2013,8,"402,095","1,216","403,311"
2013,9,"381,322","1,088","382,410"
2013,10,"421,988","1,349","423,337"
2013,11,"376,623","1,526","378,149"
2013,12,"413,062","2,755","415,817"
2013,TOTAL,"4,790,670","22,867","4,813,537"
2014,1,"336,212","3,199","339,411"
2014,2,"313,233","3,091","316,324"
2014,3,"402,860","3,708","406,568"
2014,4,"387,140","2,282","389,422"
2014,5,"451,495","1,935","453,430"
2014,6,"464,191","1,821","466,012"
2014,7,"477,699","1,887","479,586"
2014,8,"427,648","1,384","429,032"
2014,9,"407,428","1,241","408,669"
2014,10,"451,793","1,555","453,348"
2014,11,"401,320","1,314","402,634"
2014,12,"416,084","2,070","418,154"
2014,TOTAL,"4,937,103","25,487","4,962,590"
2015,1,"339,746","3,831","343,577"
2015,2,"328,293","3,564","331,857"
2015,3,"417,840","3,129","420,969"
2015,4,"415,344","2,496","417,840"
2015,5,"472,217","1,834","474,051"
2015,6,"472,139","2,250","474,389"
2015,7,"494,268","2,303","496,571"
