"Passengers (All U.S. Carriers - New York, NY: John F. Kennedy International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"6,12,442","2,09,808","8,22,250"
2002,11,"5,81,676","1,98,965","7,80,641"
2002,12,"6,99,241","2,31,225","9,30,466"
2002,TOTAL,"72,07,639","26,25,364","98,33,003"
2003,1,"6,21,399","1,82,737","8,04,136"
2003,2,"5,68,540","1,62,515","7,31,055"
2003,3,"6,67,845","1,81,276","8,49,121"
2003,4,"6,63,250","1,55,664","8,18,914"
2003,5,"6,42,524","1,79,466","8,21,990"
2003,6,"6,73,732","2,29,503","9,03,235"
2003,7,"8,12,152","2,64,644","10,76,796"
2003,8,"7,88,365","2,66,197","10,54,562"
2003,9,"5,88,379","2,04,276","7,92,655"
2003,10,"6,93,828","2,03,668","8,97,496"
2003,11,"6,75,247","2,09,609","8,84,856"
2003,12,"7,73,956","2,57,482","10,31,438"
2003,TOTAL,"81,69,217","24,97,037","1,06,66,254"
2004,1,"6,90,145","1,96,955","8,87,100"
2004,2,"6,92,862","1,93,977","8,86,839"
2004,3,"7,96,897","2,36,542","10,33,439"
2004,4,"8,47,346","2,50,263","10,97,609"
2004,5,"8,00,658","2,54,180","10,54,838"
2004,6,"8,62,122","2,93,908","11,56,030"
2004,7,"9,95,869","3,47,233","13,43,102"
2004,8,"10,04,811","3,40,792","13,45,603"
2004,9,"7,17,881","2,58,242","9,76,123"
2004,10,"8,55,339","2,41,202","10,96,541"
2004,11,"8,26,229","2,44,473","10,70,702"
2004,12,"8,91,375","3,14,375","12,05,750"
2004,TOTAL,"99,81,534","31,72,142","1,31,53,676"
2005,1,"8,08,722","2,45,281","10,54,003"
2005,2,"7,76,136","2,40,296","10,16,432"
2005,3,"9,55,440","3,09,321","12,64,761"
2005,4,"9,33,765","2,90,653","12,24,418"
2005,5,"8,99,456","3,07,520","12,06,976"
2005,6,"9,47,863","3,16,616","12,64,479"
2005,7,"11,11,863","3,66,561","14,78,424"
2005,8,"10,72,926","3,51,127","14,24,053"
2005,9,"7,75,953","2,69,003","10,44,956"
2005,10,"8,29,913","2,47,816","10,77,729"
2005,11,"8,90,132","2,37,529","11,27,661"
2005,12,"9,25,739","2,91,706","12,17,445"
2005,TOTAL,"1,09,27,908","34,73,429","1,44,01,337"
2006,1,"8,48,899","2,21,772","10,70,671"
2006,2,"7,73,149","2,14,918","9,88,067"
2006,3,"9,48,653","2,78,774","12,27,427"
2006,4,"9,55,169","2,91,142","12,46,311"
2006,5,"8,70,453","3,01,086","11,71,539"
2006,6,"9,43,149","3,45,897","12,89,046"
2006,7,"11,05,676","3,81,936","14,87,612"
2006,8,"10,86,334","3,75,577","14,61,911"
2006,9,"8,44,020","2,90,464","11,34,484"
2006,10,"9,88,603","2,77,547","12,66,150"
2006,11,"9,91,399","2,74,874","12,66,273"
2006,12,"10,36,237","3,30,057","13,66,294"
2006,TOTAL,"1,13,91,741","35,84,044","1,49,75,785"
2007,1,"9,55,506","2,69,870","12,25,376"
2007,2,"8,33,932","2,39,417","10,73,349"
2007,3,"10,83,416","3,21,391","14,04,807"
2007,4,"10,75,930","3,21,048","13,96,978"
2007,5,"10,92,079","3,29,434","14,21,513"
2007,6,"11,10,430","3,75,134","14,85,564"
2007,7,"12,31,490","4,07,209","16,38,699"
2007,8,"12,28,913","4,11,430","16,40,343"
2007,9,"9,59,361","3,23,070","12,82,431"
2007,10,"10,52,152","3,03,078","13,55,230"
2007,11,"10,32,271","3,16,735","13,49,006"
2007,12,"10,33,487","3,59,573","13,93,060"
2007,TOTAL,"1,26,88,967","39,77,389","1,66,66,356"
2008,1,"9,50,531","3,02,225","12,52,756"
2008,2,"9,00,436","2,88,464","11,88,900"
2008,3,"10,89,610","3,63,937","14,53,547"
2008,4,"10,65,183","3,52,093","14,17,276"
2008,5,"10,82,969","3,88,717","14,71,686"
2008,6,"11,25,329","4,07,868","15,33,197"
2008,7,"12,65,201","4,49,137","17,14,338"
2008,8,"12,13,087","4,52,125","16,65,212"
2008,9,"9,26,730","3,40,839","12,67,569"
2008,10,"10,03,129","3,34,684","13,37,813"
2008,11,"9,45,824","3,13,691","12,59,515"
2008,12,"10,20,675","3,61,374","13,82,049"
2008,TOTAL,"1,25,88,704","43,55,154","1,69,43,858"
2009,1,"8,83,040","2,93,607","11,76,647"
2009,2,"8,33,411","2,65,252","10,98,663"
2009,3,"9,97,754","3,19,166","13,16,920"
2009,4,"10,23,165","3,46,421","13,69,586"
2009,5,"10,40,946","3,59,930","14,00,876"
2009,6,"10,66,992","4,04,584","14,71,576"
2009,7,"12,04,037","4,62,609","16,66,646"
2009,8,"11,80,984","4,61,400","16,42,384"
2009,9,"9,02,535","3,61,069","12,63,604"
2009,10,"9,73,578","3,52,397","13,25,975"
2009,11,"9,07,580","3,22,001","12,29,581"
2009,12,"9,66,276","3,74,429","13,40,705"
2009,TOTAL,"1,19,80,298","43,22,865","1,63,03,163"
2010,1,"8,52,302","2,99,125","11,51,427"
2010,2,"7,51,583","2,67,141","10,18,724"
2010,3,"9,85,765","3,54,034","13,39,799"
2010,4,"9,15,337","3,46,159","12,61,496"
2010,5,"9,66,020","4,21,914","13,87,934"
2010,6,"9,93,110","4,87,064","14,80,174"
2010,7,"11,35,253","5,34,922","16,70,175"
2010,8,"11,07,625","5,23,358","16,30,983"
2010,9,"9,20,603","4,12,466","13,33,069"
2010,10,"10,15,697","4,03,413","14,19,110"
2010,11,"9,52,443","3,56,875","13,09,318"
2010,12,"9,51,972","3,94,159","13,46,131"
2010,TOTAL,"1,15,47,710","48,00,630","1,63,48,340"
2011,1,"8,60,442","3,29,246","11,89,688"
2011,2,"8,06,026","2,94,444","11,00,470"
2011,3,"10,09,912","3,80,325","13,90,237"
2011,4,"9,97,188","3,97,798","13,94,986"
2011,5,"10,27,829","4,28,359","14,56,188"
2011,6,"10,41,455","4,78,247","15,19,702"
2011,7,"11,80,319","5,27,546","17,07,865"
2011,8,"10,84,316","4,91,393","15,75,709"
2011,9,"9,35,908","3,98,992","13,34,900"
2011,10,"10,03,955","3,83,084","13,87,039"
2011,11,"9,61,813","3,43,290","13,05,103"
2011,12,"9,70,460","3,95,908","13,66,368"
2011,TOTAL,"1,18,79,623","48,48,632","1,67,28,255"
2012,1,"9,00,373","3,27,798","12,28,171"
2012,2,"8,55,643","3,10,282","11,65,925"
2012,3,"10,52,672","3,96,669","14,49,341"
2012,4,"10,09,278","4,12,314","14,21,592"
2012,5,"10,18,812","4,18,202","14,37,014"
2012,6,"10,64,923","4,90,597","15,55,520"
2012,7,"11,67,626","5,24,102","16,91,728"
2012,8,"11,58,267","5,21,384","16,79,651"
2012,9,"9,45,990","4,04,746","13,50,736"
2012,10,"9,64,615","3,59,322","13,23,937"
2012,11,"9,40,325","3,51,341","12,91,666"
2012,12,"10,10,049","4,16,009","14,26,058"
2012,TOTAL,"1,20,88,573","49,32,766","1,70,21,339"
2013,1,"9,37,083","3,45,566","12,82,649"
2013,2,"8,23,324","3,06,551","11,29,875"
2013,3,"10,46,602","4,09,779","14,56,381"
2013,4,"9,43,975","3,76,219","13,20,194"
2013,5,"10,16,442","4,23,891","14,40,333"
2013,6,"10,46,564","4,95,125","15,41,689"
2013,7,"11,51,275","5,51,724","17,02,999"
2013,8,"11,36,472","5,46,127","16,82,599"
2013,9,"9,20,954","4,09,254","13,30,208"
2013,10,"10,03,247","3,85,488","13,88,735"
2013,11,"9,04,169","3,57,588","12,61,757"
2013,12,"10,38,037","4,49,288","14,87,325"
2013,TOTAL,"1,19,68,144","50,56,600","1,70,24,744"
2014,1,"8,66,387","3,49,858","12,16,245"
2014,2,"8,07,612","3,20,378","11,27,990"
2014,3,"10,10,959","3,85,640","13,96,599"
2014,4,"10,45,589","4,11,166","14,56,755"
2014,5,"10,81,282","4,35,447","15,16,729"
2014,6,"10,97,910","4,98,042","15,95,952"
2014,7,"12,08,117","5,45,433","17,53,550"
2014,8,"12,01,407","5,61,205","17,62,612"
2014,9,"9,78,965","4,10,431","13,89,396"
2014,10,"10,87,714","3,93,779","14,81,493"
2014,11,"9,81,717","3,59,063","13,40,780"
2014,12,"10,98,969","4,58,266","15,57,235"
2014,TOTAL,"1,24,66,628","51,28,708","1,75,95,336"
2015,1,"9,41,285","3,48,310","12,89,595"
2015,2,"8,76,661","3,14,699","11,91,360"
2015,3,"10,75,427","3,82,376","14,57,803"
2015,4,"10,88,856","4,01,113","14,89,969"
2015,5,"11,41,202","4,44,913","15,86,115"
2015,6,"11,59,556","5,11,603","16,71,159"
2015,7,"12,71,834","5,86,546","18,58,380"
2015,8,"12,45,569","5,95,202","18,40,771"
2015,9,"10,19,901","4,36,715","14,56,616"
2015,10,"11,43,591","4,28,512","15,72,103"
2015,11,"10,43,124","3,79,857","14,22,981"
2015,12,"11,29,645","4,83,003","16,12,648"
2015,TOTAL,"1,31,36,651","53,12,849","1,84,49,500"
2016,1,"9,84,000","3,82,287","13,66,287"
2016,2,"9,66,301","3,60,451","13,26,752"
2016,3,"11,65,379","4,39,386","16,04,765"
2016,4,"11,24,187","4,62,267","15,86,454"
2016,5,"11,54,146","4,86,146","16,40,292"
2016,6,"12,16,211","5,66,016","17,82,227"
2016,7,"12,85,653","6,13,995","18,99,648"
2016,8,"12,36,095","6,15,722","18,51,817"
2016,9,"10,32,095","4,52,716","14,84,811"
2016,10,"11,19,211","4,31,105","15,50,316"
2016,11,"10,74,599","3,87,048","14,61,647"
