"Passengers (All U.S. Carriers - Philadelphia, PA: Philadelphia International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"8,69,043","75,960","9,45,003"
2002,11,"8,18,717","80,584","8,99,301"
2002,12,"8,90,226","82,768","9,72,994"
2002,TOTAL,"96,23,021","10,06,429","1,06,29,450"
2003,1,"7,29,478","76,967","8,06,445"
2003,2,"6,74,490","69,497","7,43,987"
2003,3,"8,52,594","92,067","9,44,661"
2003,4,"8,63,681","85,876","9,49,557"
2003,5,"8,66,652","1,07,314","9,73,966"
2003,6,"9,22,004","1,19,403","10,41,407"
2003,7,"10,03,240","1,16,245","11,19,485"
2003,8,"9,81,047","1,21,473","11,02,520"
2003,9,"7,56,737","1,01,243","8,57,980"
2003,10,"9,13,406","98,857","10,12,263"
2003,11,"8,53,069","93,438","9,46,507"
2003,12,"8,80,721","1,00,655","9,81,376"
2003,TOTAL,"1,02,97,119","11,83,035","1,14,80,154"
2004,1,"7,47,234","97,518","8,44,752"
2004,2,"7,86,611","1,02,726","8,89,337"
2004,3,"9,29,472","1,24,919","10,54,391"
2004,4,"9,73,927","1,16,154","10,90,081"
2004,5,"9,79,927","1,33,494","11,13,421"
2004,6,"10,83,519","1,38,206","12,21,725"
2004,7,"11,62,714","1,38,292","13,01,006"
2004,8,"11,30,646","1,40,527","12,71,173"
2004,9,"8,97,786","1,05,448","10,03,234"
2004,10,"11,13,228","1,05,083","12,18,311"
2004,11,"11,07,020","1,03,530","12,10,550"
2004,12,"10,93,551","1,09,040","12,02,591"
2004,TOTAL,"1,20,05,635","14,14,937","1,34,20,572"
2005,1,"9,61,496","1,04,040","10,65,536"
2005,2,"9,66,512","98,451","10,64,963"
2005,3,"12,65,220","1,34,747","13,99,967"
2005,4,"11,53,002","1,22,758","12,75,760"
2005,5,"12,09,905","1,35,073","13,44,978"
2005,6,"12,49,474","1,46,135","13,95,609"
2005,7,"12,67,194","1,45,885","14,13,079"
2005,8,"12,15,200","1,45,718","13,60,918"
2005,9,"10,14,829","1,22,430","11,37,259"
2005,10,"11,10,106","1,11,504","12,21,610"
2005,11,"10,88,945","88,799","11,77,744"
2005,12,"10,33,071","91,817","11,24,888"
2005,TOTAL,"1,35,34,954","14,47,357","1,49,82,311"
