"Passengers (All U.S. Carriers - Seattle, WA: Seattle/Tacoma International (Origin Airport))",,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"9,16,207","56,183","9,72,390"
2002,11,"8,54,178","52,664","9,06,842"
2002,12,"10,27,647","59,321","10,86,968"
2002,TOTAL,"1,18,78,842","7,12,878","1,25,91,720"
2003,1,"8,10,326","57,406","8,67,732"
2003,2,"7,74,837","56,622","8,31,459"
2003,3,"9,04,072","62,966","9,67,038"
2003,4,"9,10,822","52,724","9,63,546"
2003,5,"9,92,129","57,467","10,49,596"
2003,6,"11,54,312","62,368","12,16,680"
2003,7,"12,84,843","70,021","13,54,864"
2003,8,"13,14,408","73,780","13,88,188"
2003,9,"9,87,492","60,622","10,48,114"
2003,10,"9,48,986","60,935","10,09,921"
2003,11,"9,08,366","59,098","9,67,464"
2003,12,"10,21,628","65,938","10,87,566"
2003,TOTAL,"1,20,12,221","7,39,947","1,27,52,168"
2004,1,"8,26,236","62,116","8,88,352"
2004,2,"8,30,863","66,940","8,97,803"
2004,3,"10,19,667","74,229","10,93,896"
2004,4,"10,20,371","65,286","10,85,657"
2004,5,"10,44,235","65,323","11,09,558"
2004,6,"12,55,642","64,601","13,20,243"
2004,7,"13,58,887","66,075","14,24,962"
2004,8,"14,07,725","67,332","14,75,057"
2004,9,"10,98,903","60,140","11,59,043"
2004,10,"10,11,453","55,723","10,67,176"
2004,11,"9,91,698","55,103","10,46,801"
2004,12,"10,65,771","63,120","11,28,891"
2004,TOTAL,"1,29,31,451","7,65,988","1,36,97,439"
2005,1,"8,88,108","61,319","9,49,427"
2005,2,"8,45,074","61,211","9,06,285"
2005,3,"10,40,846","69,072","11,09,918"
2005,4,"10,26,813","60,722","10,87,535"
2005,5,"10,90,781","58,439","11,49,220"
2005,6,"12,65,479","57,839","13,23,318"
2005,7,"13,73,576","59,909","14,33,485"
2005,8,"14,01,359","58,917","14,60,276"
2005,9,"11,37,642","55,800","11,93,442"
2005,10,"10,39,344","57,045","10,96,389"
2005,11,"10,11,614","55,975","10,67,589"
2005,12,"10,72,835","62,355","11,35,190"
2005,TOTAL,"1,31,93,471","7,18,603","1,39,12,074"
2006,1,"9,17,131","64,114","9,81,245"
2006,2,"8,86,381","61,431","9,47,812"
2006,3,"10,75,128","70,388","11,45,516"
2006,4,"10,66,372","59,189","11,25,561"
2006,5,"11,47,223","57,371","12,04,594"
2006,6,"13,23,192","54,745","13,77,937"
2006,7,"13,89,439","53,455","14,42,894"
2006,8,"14,12,110","56,986","14,69,096"
2006,9,"11,44,537","55,094","11,99,631"
2006,10,"10,67,961","57,369","11,25,330"
2006,11,"10,34,109","57,686","10,91,795"
2006,12,"10,88,164","62,392","11,50,556"
2006,TOTAL,"1,35,51,747","7,10,220","1,42,61,967"
2007,1,"9,23,729","60,826","9,84,555"
2007,2,"8,83,775","60,697","9,44,472"
2007,3,"11,00,412","70,114","11,70,526"
2007,4,"10,97,420","62,236","11,59,656"
2007,5,"12,08,808","64,534","12,73,342"
2007,6,"13,51,479","58,999","14,10,478"
2007,7,"14,50,863","60,406","15,11,269"
2007,8,"14,86,319","65,058","15,51,377"
2007,9,"12,01,184","59,408","12,60,592"
2007,10,"11,50,933","65,231","12,16,164"
2007,11,"11,13,100","65,751","11,78,851"
2007,12,"11,55,161","73,239","12,28,400"
2007,TOTAL,"1,41,23,183","7,66,499","1,48,89,682"
2008,1,"9,96,359","73,967","10,70,326"
2008,2,"9,96,689","73,101","10,69,790"
2008,3,"11,87,164","83,210","12,70,374"
2008,4,"11,12,424","66,417","11,78,841"
2008,5,"12,43,599","62,963","13,06,562"
2008,6,"13,99,182","65,289","14,64,471"
2008,7,"14,79,950","62,694","15,42,644"
2008,8,"15,16,999","68,301","15,85,300"
2008,9,"12,03,441","61,541","12,64,982"
2008,10,"11,41,156","58,692","11,99,848"
2008,11,"10,22,753","61,889","10,84,642"
2008,12,"11,03,995","67,295","11,71,290"
2008,TOTAL,"1,44,03,711","8,05,359","1,52,09,070"
2009,1,"9,30,933","66,337","9,97,270"
2009,2,"9,08,563","61,198","9,69,761"
2009,3,"11,39,130","71,945","12,11,075"
2009,4,"10,68,228","61,035","11,29,263"
2009,5,"11,83,243","57,211","12,40,454"
2009,6,"13,41,432","54,824","13,96,256"
2009,7,"14,44,320","55,502","14,99,822"
2009,8,"14,53,497","58,852","15,12,349"
2009,9,"12,01,569","54,540","12,56,109"
2009,10,"11,30,489","53,843","11,84,332"
2009,11,"10,36,456","58,124","10,94,580"
2009,12,"11,28,739","67,846","11,96,585"
2009,TOTAL,"1,39,66,599","7,21,257","1,46,87,856"
2010,1,"9,54,905","72,080","10,26,985"
2010,2,"8,95,211","61,539","9,56,750"
2010,3,"11,05,311","68,927","11,74,238"
2010,4,"10,47,501","59,573","11,07,074"
2010,5,"11,42,114","60,945","12,03,059"
2010,6,"13,33,245","67,137","14,00,382"
2010,7,"14,44,478","65,760","15,10,238"
2010,8,"14,56,885","69,482","15,26,367"
2010,9,"12,17,637","65,601","12,83,238"
2010,10,"11,49,889","65,636","12,15,525"
2010,11,"10,92,604","63,469","11,56,073"
2010,12,"11,67,287","73,188","12,40,475"
2010,TOTAL,"1,40,07,067","7,93,337","1,48,00,404"
2011,1,"9,90,835","71,183","10,62,018"
2011,2,"9,28,579","65,389","9,93,968"
2011,3,"11,74,099","74,837","12,48,936"
2011,4,"11,00,898","69,803","11,70,701"
2011,5,"12,08,753","68,981","12,77,734"
2011,6,"13,75,375","69,140","14,44,515"
2011,7,"14,72,834","69,595","15,42,429"
2011,8,"15,00,128","78,624","15,78,752"
2011,9,"12,59,634","66,653","13,26,287"
2011,10,"11,53,751","62,320","12,16,071"
2011,11,"11,29,912","61,815","11,91,727"
2011,12,"11,94,183","68,947","12,63,130"
2011,TOTAL,"1,44,88,981","8,27,287","1,53,16,268"
2012,1,"9,82,707","66,598","10,49,305"
2012,2,"9,83,699","65,271","10,48,970"
2012,3,"11,80,559","79,400","12,59,959"
2012,4,"11,26,168","70,791","11,96,959"
2012,5,"12,03,543","72,241","12,75,784"
2012,6,"13,88,964","76,537","14,65,501"
2012,7,"14,87,415","73,351","15,60,766"
2012,8,"15,00,333","82,938","15,83,271"
2012,9,"12,36,922","72,537","13,09,459"
2012,10,"11,55,693","74,111","12,29,804"
2012,11,"11,21,010","68,192","11,89,202"
2012,12,"11,70,707","76,230","12,46,937"
2012,TOTAL,"1,45,37,720","8,78,197","1,54,15,917"
2013,1,"10,24,073","73,638","10,97,711"
2013,2,"9,83,458","71,629","10,55,087"
2013,3,"11,92,794","84,256","12,77,050"
2013,4,"11,37,687","74,106","12,11,793"
2013,5,"12,55,849","81,787","13,37,636"
2013,6,"14,33,511","91,218","15,24,729"
2013,7,"15,49,936","86,714","16,36,650"
2013,8,"15,62,472","99,414","16,61,886"
2013,9,"12,70,394","85,686","13,56,080"
2013,10,"11,92,701","79,039","12,71,740"
2013,11,"10,93,111","71,795","11,64,906"
2013,12,"12,53,570","82,334","13,35,904"
2013,TOTAL,"1,49,49,556","9,81,616","1,59,31,172"
2014,1,"10,59,353","78,371","11,37,724"
2014,2,"10,01,389","70,781","10,72,170"
2014,3,"12,14,967","83,873","12,98,840"
2014,4,"12,04,716","79,431","12,84,147"
2014,5,"12,96,179","81,091","13,77,270"
2014,6,"15,33,121","94,071","16,27,192"
2014,7,"16,70,697","92,954","17,63,651"
2014,8,"17,14,870","1,11,548","18,26,418"
