Year,Month,DOMESTIC,INTERNATIONAL,TOTAL,City
2002,10,"33,127","1,755","34,882",Atlanta
2002,11,"31,504","1,735","33,239",Atlanta
2002,12,"32,371","1,753","34,124",Atlanta
2002,TOTAL,"3,87,938","20,177","4,08,115",Atlanta
2003,1,"33,041","1,760","34,801",Atlanta
2003,2,"29,104","1,517","30,621",Atlanta
2003,3,"33,096","1,708","34,804",Atlanta
2003,4,"31,552","1,651","33,203",Atlanta
2003,5,"32,354","1,639","33,993",Atlanta
2003,6,"33,042","1,689","34,731",Atlanta
2003,7,"34,162","1,760","35,922",Atlanta
2003,8,"35,072","1,822","36,894",Atlanta
2003,9,"34,141","1,742","35,883",Atlanta
2003,10,"35,920","1,791","37,711",Atlanta
2003,11,"34,342","1,737","36,079",Atlanta
2003,12,"35,569","1,841","37,410",Atlanta
2003,TOTAL,"4,01,395","20,657","4,22,052",Atlanta
2004,1,"35,511","1,798","37,309",Atlanta
2004,2,"33,737","1,659","35,396",Atlanta
2004,3,"37,112","1,775","38,887",Atlanta
2004,4,"35,983","1,831","37,814",Atlanta
2004,5,"36,776","1,939","38,715",Atlanta
2004,6,"35,916","1,928","37,844",Atlanta
2004,7,"36,990","1,994","38,984",Atlanta
2004,8,"37,301","1,988","39,289",Atlanta
2004,9,"33,878","1,788","35,666",Atlanta
2004,10,"36,579","1,862","38,441",Atlanta
2004,11,"34,792","1,787","36,579",Atlanta
2004,12,"35,741","1,972","37,713",Atlanta
2004,TOTAL,"4,30,316","22,321","4,52,637",Atlanta
2005,1,"34,181","1,967","36,148",Atlanta
2005,2,"34,051","1,745","35,796",Atlanta
2005,3,"38,110","2,011","40,121",Atlanta
2005,4,"37,464","1,917","39,381",Atlanta
2005,5,"39,384","2,033","41,417",Atlanta
2005,6,"37,606","1,991","39,597",Atlanta
2005,7,"37,835","2,053","39,888",Atlanta
2005,8,"37,898","2,046","39,944",Atlanta
2005,9,"33,803","1,924","35,727",Atlanta
2005,10,"35,682","1,925","37,607",Atlanta
2005,11,"34,137","1,848","35,985",Atlanta
2005,12,"34,671","2,186","36,857",Atlanta
2005,TOTAL,"4,34,822","23,646","4,58,468",Atlanta
2006,1,"34,189","2,155","36,344",Atlanta
2006,2,"31,272","1,917","33,189",Atlanta
2006,3,"36,212","2,337","38,549",Atlanta
2006,4,"34,812","2,323","37,135",Atlanta
2006,5,"35,713","2,399","38,112",Atlanta
2006,6,"36,006","2,648","38,654",Atlanta
2006,7,"37,896","2,876","40,772",Atlanta
2006,8,"38,525","2,780","41,305",Atlanta
2006,9,"35,393","2,327","37,720",Atlanta
2006,10,"37,691","2,343","40,034",Atlanta
2006,11,"36,642","2,317","38,959",Atlanta
2006,12,"35,958","2,615","38,573",Atlanta
2006,TOTAL,"4,30,309","29,037","4,59,346",Atlanta
2007,1,"34,841","2,621","37,462",Atlanta
2007,2,"31,754","2,370","34,124",Atlanta
2007,3,"36,141","2,709","38,850",Atlanta
2007,4,"35,188","2,565","37,753",Atlanta
2007,5,"36,619","2,592","39,211",Atlanta
2007,6,"37,697","2,927","40,624",Atlanta
2007,7,"38,798","3,095","41,893",Atlanta
2007,8,"38,887","2,927","41,814",Atlanta
2007,9,"35,659","2,339","37,998",Atlanta
2007,10,"38,352","2,353","40,705",Atlanta
2007,11,"36,810","2,354","39,164",Atlanta
2007,12,"36,415","2,586","39,001",Atlanta
2007,TOTAL,"4,37,161","31,438","4,68,599",Atlanta
2008,1,"35,115","2,543","37,658",Atlanta
2008,2,"33,997","2,433","36,430",Atlanta
2008,3,"37,280","2,767","40,047",Atlanta
2008,4,"36,201","2,541","38,742",Atlanta
2008,5,"36,344","2,633","38,977",Atlanta
2008,6,"36,897","2,887","39,784",Atlanta
2008,7,"37,595","3,080","40,675",Atlanta
2008,8,"37,202","2,841","40,043",Atlanta
2008,9,"34,762","2,153","36,915",Atlanta
2008,10,"36,948","2,190","39,138",Atlanta
2008,11,"35,821","2,201","38,022",Atlanta
2008,12,"35,628","2,531","38,159",Atlanta
2008,TOTAL,"4,33,790","30,800","4,64,590",Atlanta
2009,1,"34,738","2,558","37,296",Atlanta
2009,2,"32,247","2,215","34,462",Atlanta
2009,3,"36,408","2,520","38,928",Atlanta
2009,4,"35,948","2,452","38,400",Atlanta
2009,5,"36,892","2,412","39,304",Atlanta
2009,6,"37,781","2,657","40,438",Atlanta
2009,7,"39,930","2,790","42,720",Atlanta
2009,8,"39,236","2,549","41,785",Atlanta
2009,9,"35,555","1,980","37,535",Atlanta
2009,10,"37,339","2,008","39,347",Atlanta
2009,11,"35,367","2,000","37,367",Atlanta
2009,12,"35,210","2,439","37,649",Atlanta
2009,TOTAL,"4,36,651","28,580","4,65,231",Atlanta
2010,1,"34,414","2,425","36,839",Atlanta
2010,2,"30,638","2,254","32,892",Atlanta
2010,3,"36,263","2,659","38,922",Atlanta
2010,4,"35,877","2,431","38,308",Atlanta
2010,5,"36,586","2,496","39,082",Atlanta
2010,6,"36,569","2,753","39,322",Atlanta
2010,7,"37,514","2,979","40,493",Atlanta
2010,8,"37,653","2,731","40,384",Atlanta
2010,9,"35,174","2,117","37,291",Atlanta
2010,10,"36,216","2,185","38,401",Atlanta
2010,11,"34,473","2,102","36,575",Atlanta
2010,12,"33,974","2,392","36,366",Atlanta
2010,TOTAL,"4,25,351","29,524","4,54,875",Atlanta
2011,1,"31,716","2,480","34,196",Atlanta
2011,2,"30,417","2,387","32,804",Atlanta
2011,3,"36,069","2,829","38,898",Atlanta
2011,4,"33,920","2,504","36,424",Atlanta
2011,5,"35,706","2,464","38,170",Atlanta
2011,6,"35,439","2,708","38,147",Atlanta
2011,7,"36,535","3,014","39,549",Atlanta
2011,8,"36,117","2,740","38,857",Atlanta
2011,9,"33,817","2,216","36,033",Atlanta
2011,10,"35,301","2,294","37,595",Atlanta
2011,11,"33,486","2,148","35,634",Atlanta
2011,12,"33,284","2,461","35,745",Atlanta
2011,TOTAL,"4,11,807","30,245","4,42,052",Atlanta
2012,1,"33,311","2,525","35,836",Atlanta
2012,2,"31,847","2,426","34,273",Atlanta
2012,3,"35,827","2,759","38,586",Atlanta
2012,4,"34,678","2,534","37,212",Atlanta
2012,5,"35,834","2,618","38,452",Atlanta
2012,6,"36,097","2,738","38,835",Atlanta
2012,7,"36,696","2,823","39,519",Atlanta
2012,8,"36,626","2,618","39,244",Atlanta
2012,9,"33,628","2,222","35,850",Atlanta
2012,10,"35,132","2,277","37,409",Atlanta
2012,11,"33,219","2,141","35,360",Atlanta
2012,12,"32,933","2,451","35,384",Atlanta
2012,TOTAL,"4,15,828","30,132","4,45,960",Atlanta
2013,1,"32,995","2,391","35,386",Atlanta
2013,2,"30,015","2,237","32,252",Atlanta
2013,3,"35,309","2,652","37,961",Atlanta
2013,4,"34,263","2,579","36,842",Atlanta
2013,5,"35,164","2,660","37,824",Atlanta
2013,6,"34,847","2,786","37,633",Atlanta
2013,7,"36,020","2,897","38,917",Atlanta
2013,8,"35,947","2,678","38,625",Atlanta
2013,9,"32,943","2,216","35,159",Atlanta
2013,10,"34,612","2,323","36,935",Atlanta
2013,11,"32,289","2,377","34,666",Atlanta
2013,12,"32,496","2,661","35,157",Atlanta
2013,TOTAL,"4,06,900","30,457","4,37,357",Atlanta
2014,1,"29,911","2,670","32,581",Atlanta
2014,2,"27,067","2,412","29,479",Atlanta
