Year,Month,DOMESTIC,INTERNATIONAL,TOTAL,City
2002,10,"2,484",0,"2,484",Boise
2002,11,"2,385",0,"2,385",Boise
2002,12,"2,492",0,"2,492",Boise
2002,TOTAL,"23,951",1,"23,952",Boise
2003,1,"2,455",0,"2,455",Boise
2003,2,"2,161",0,"2,161",Boise
2003,3,"2,408",0,"2,408",Boise
2003,4,"2,177",0,"2,177",Boise
2003,5,"2,175",0,"2,175",Boise
2003,6,"2,167",0,"2,167",Boise
2003,7,"2,250",0,"2,250",Boise
2003,8,"2,241",0,"2,241",Boise
2003,9,"2,041",1,"2,042",Boise
2003,10,"2,074",0,"2,074",Boise
2003,11,"1,981",0,"1,981",Boise
2003,12,"2,073",0,"2,073",Boise
2003,TOTAL,"26,203",1,"26,204",Boise
2004,1,"1,882",0,"1,882",Boise
2004,2,"1,836",0,"1,836",Boise
2004,3,"2,046",0,"2,046",Boise
2004,4,"1,992",0,"1,992",Boise
2004,5,"2,042",0,"2,042",Boise
2004,6,"2,124",0,"2,124",Boise
2004,7,"2,209",0,"2,209",Boise
2004,8,"2,289",0,"2,289",Boise
2004,9,"2,053",0,"2,053",Boise
2004,10,"2,154",0,"2,154",Boise
2004,11,"2,015",0,"2,015",Boise
2004,12,"2,162",0,"2,162",Boise
2004,TOTAL,"24,804",0,"24,804",Boise
2005,1,"2,073",0,"2,073",Boise
2005,2,"1,975",1,"1,976",Boise
2005,3,"2,275",0,"2,275",Boise
2005,4,"2,189",0,"2,189",Boise
2005,5,"2,341",0,"2,341",Boise
2005,6,"2,339",0,"2,339",Boise
2005,7,"2,409",1,"2,410",Boise
2005,8,"2,489",0,"2,489",Boise
2005,9,"2,241",0,"2,241",Boise
2005,10,"2,286",0,"2,286",Boise
2005,11,"2,159",0,"2,159",Boise
2005,12,"2,205",0,"2,205",Boise
2005,TOTAL,"26,981",2,"26,983",Boise
2006,1,"2,325",0,"2,325",Boise
2006,2,"2,146",0,"2,146",Boise
2006,3,"2,423",0,"2,423",Boise
2006,4,"2,298",0,"2,298",Boise
2006,5,"2,522",0,"2,522",Boise
2006,6,"2,523",0,"2,523",Boise
2006,7,"2,591",0,"2,591",Boise
2006,8,"2,645",0,"2,645",Boise
2006,9,"2,347",0,"2,347",Boise
2006,10,"2,413",0,"2,413",Boise
2006,11,"2,217",2,"2,219",Boise
2006,12,"2,319",0,"2,319",Boise
2006,TOTAL,"28,769",2,"28,771",Boise
2007,1,"2,372",0,"2,372",Boise
2007,2,"2,133",0,"2,133",Boise
2007,3,"2,347",0,"2,347",Boise
2007,4,"2,238",0,"2,238",Boise
2007,5,"2,329",0,"2,329",Boise
2007,6,"2,389",0,"2,389",Boise
2007,7,"2,539",0,"2,539",Boise
2007,8,"2,517",0,"2,517",Boise
2007,9,"2,348",0,"2,348",Boise
2007,10,"2,459",0,"2,459",Boise
2007,11,"2,330",0,"2,330",Boise
2007,12,"2,526",0,"2,526",Boise
2007,TOTAL,"28,527",0,"28,527",Boise
2008,1,"2,337",0,"2,337",Boise
2008,2,"2,154",0,"2,154",Boise
2008,3,"2,238",0,"2,238",Boise
2008,4,"2,188",0,"2,188",Boise
2008,5,"2,174",0,"2,174",Boise
2008,6,"2,287",0,"2,287",Boise
2008,7,"2,417",0,"2,417",Boise
2008,8,"2,322",0,"2,322",Boise
2008,9,"2,002",0,"2,002",Boise
2008,10,"1,995",0,"1,995",Boise
2008,11,"1,833",0,"1,833",Boise
2008,12,"1,902",0,"1,902",Boise
2008,TOTAL,"25,849",0,"25,849",Boise
2009,1,"1,861",0,"1,861",Boise
2009,2,"1,713",0,"1,713",Boise
2009,3,"1,915",0,"1,915",Boise
2009,4,"1,830",0,"1,830",Boise
2009,5,"1,825",0,"1,825",Boise
2009,6,"1,881",0,"1,881",Boise
2009,7,"1,950",0,"1,950",Boise
