Year,Month,DOMESTIC,INTERNATIONAL,TOTAL,City
2002,10,"113,684",94,"113,778",Boise
2002,11,"108,537",0,"108,537",Boise
2002,12,"126,876",0,"126,876",Boise
2002,TOTAL,"1,256,591",325,"1,256,916",Boise
2003,1,"109,323",4,"109,327",Boise
2003,2,"102,754",6,"102,760",Boise
2003,3,"115,814",4,"115,818",Boise
2003,4,"97,584",34,"97,618",Boise
2003,5,"108,447",81,"108,528",Boise
2003,6,"120,736",64,"120,800",Boise
2003,7,"131,870",0,"131,870",Boise
2003,8,"127,524",0,"127,524",Boise
2003,9,"104,260",0,"104,260",Boise
2003,10,"110,810",0,"110,810",Boise
2003,11,"106,614",0,"106,614",Boise
2003,12,"116,776",0,"116,776",Boise
2003,TOTAL,"1,352,512",193,"1,352,705",Boise
2004,1,"101,112",33,"101,145",Boise
2004,2,"100,915",28,"100,943",Boise
2004,3,"120,415",39,"120,454",Boise
2004,4,"107,706",37,"107,743",Boise
2004,5,"114,930",66,"114,996",Boise
2004,6,"130,556",0,"130,556",Boise
2004,7,"138,886",0,"138,886",Boise
2004,8,"136,462",0,"136,462",Boise
2004,9,"119,130",0,"119,130",Boise
2004,10,"120,933",0,"120,933",Boise
2004,11,"122,781",0,"122,781",Boise
2004,12,"130,699",0,"130,699",Boise
2004,TOTAL,"1,444,525",203,"1,444,728",Boise
2005,1,"114,520",0,"114,520",Boise
2005,2,"108,228",13,"108,241",Boise
2005,3,"131,485",0,"131,485",Boise
2005,4,"118,671",31,"118,702",Boise
2005,5,"126,935",61,"126,996",Boise
2005,6,"143,537",124,"143,661",Boise
2005,7,"152,160",125,"152,285",Boise
2005,8,"153,347",102,"153,449",Boise
2005,9,"131,394",12,"131,406",Boise
2005,10,"131,136",0,"131,136",Boise
2005,11,"128,868",0,"128,868",Boise
2005,12,"134,750",56,"134,806",Boise
2005,TOTAL,"1,575,031",524,"1,575,555",Boise
2006,1,"123,074",3,"123,077",Boise
2006,2,"117,557",31,"117,588",Boise
2006,3,"141,837",35,"141,872",Boise
2006,4,"122,227",2,"122,229",Boise
2006,5,"135,570",0,"135,570",Boise
2006,6,"152,865",0,"152,865",Boise
2006,7,"155,188",0,"155,188",Boise
2006,8,"156,757",0,"156,757",Boise
2006,9,"135,015",0,"135,015",Boise
2006,10,"134,434",0,"134,434",Boise
2006,11,"135,315",0,"135,315",Boise
2006,12,"137,763",9,"137,772",Boise
2006,TOTAL,"1,647,602",80,"1,647,682",Boise
2007,1,"125,403",0,"125,403",Boise
2007,2,"119,238",0,"119,238",Boise
2007,3,"140,462",0,"140,462",Boise
2007,4,"126,002",0,"126,002",Boise
2007,5,"140,257",0,"140,257",Boise
2007,6,"156,043",0,"156,043",Boise
2007,7,"162,569",8,"162,577",Boise
2007,8,"161,767",0,"161,767",Boise
2007,9,"136,785",0,"136,785",Boise
2007,10,"137,720",0,"137,720",Boise
2007,11,"139,478",0,"139,478",Boise
2007,12,"136,242",0,"136,242",Boise
2007,TOTAL,"1,681,966",8,"1,681,974",Boise
2008,1,"129,167",0,"129,167",Boise
2008,2,"124,519",0,"124,519",Boise
2008,3,"135,334",0,"135,334",Boise
2008,4,"125,790",0,"125,790",Boise
2008,5,"132,976",0,"132,976",Boise
2008,6,"151,063",0,"151,063",Boise
2008,7,"153,950",0,"153,950",Boise
2008,8,"149,187",0,"149,187",Boise
2008,9,"122,112",0,"122,112",Boise
2008,10,"119,971",0,"119,971",Boise
2008,11,"107,829",4,"107,833",Boise
2008,12,"117,006",1,"117,007",Boise
2008,TOTAL,"1,568,904",5,"1,568,909",Boise
2009,1,"105,549",3,"105,552",Boise
2009,2,"103,531",11,"103,542",Boise
2009,3,"119,687",0,"119,687",Boise
2009,4,"104,390",4,"104,394",Boise
2009,5,"112,107",0,"112,107",Boise
2009,6,"127,325",0,"127,325",Boise
2009,7,"133,254",4,"133,258",Boise
2009,8,"129,219",7,"129,226",Boise
2009,9,"116,785",1,"116,786",Boise
2009,10,"114,131",0,"114,131",Boise
2009,11,"109,986",0,"109,986",Boise
2009,12,"117,303",157,"117,460",Boise
2009,TOTAL,"1,393,267",187,"1,393,454",Boise
2010,1,"106,308",161,"106,469",Boise
2010,2,"96,743",115,"96,858",Boise
2010,3,"118,277",27,"118,304",Boise
